YearMonth,No of Visitors
Jan-1991,177400
Feb-1991,190600
Mar-1991,189200
Apr-1991,168000
May-1991,161400
Jun-1991,172200
Jul-1991,208300
Aug-1991,199300
Sep-1991,197400
Oct-1991,216000
Nov-1991,223900
Dec-1991,266800
Jan-1992,196100
Feb-1992,238200
Mar-1992,217800
Apr-1992,203800
May-1992,175200
Jun-1992,176900
Jul-1992,219300
Aug-1992,199100
Sep-1992,190000
Oct-1992,229300
Nov-1992,255000
Dec-1992,302400
Jan-1993,242800
Feb-1993,245500
Mar-1993,257900
Apr-1993,226300
May-1993,213400
Jun-1993,204600
Jul-1993,244600
Aug-1993,239900
Sep-1993,224000
Oct-1993,267200
Nov-1993,285900
Dec-1993,344000
Jan-1994,250500
Feb-1994,304300
Mar-1994,307400
Apr-1994,255100
May-1994,214900
Jun-1994,230900
Jul-1994,282500
Aug-1994,265400
Sep-1994,254000
Oct-1994,301600
Nov-1994,311000
Dec-1994,384000
Jan-1995,303800
Feb-1995,319100
Mar-1995,313500
Apr-1995,294200
May-1995,244800
Jun-1995,261400
Jul-1995,329700
Aug-1995,304900
Sep-1995,268600
Oct-1995,320700
Nov-1995,342900
Dec-1995,422300
Jan-1996,317200
Feb-1996,392700
Mar-1996,365600
Apr-1996,333200
May-1996,261500
Jun-1996,306900
Jul-1996,358200
Aug-1996,329200
Sep-1996,309200
Oct-1996,350400
Nov-1996,375600
Dec-1996,465200
Jan-1997,342900
Feb-1997,408000
Mar-1997,390900
Apr-1997,325900
May-1997,289100
Jun-1997,308200
Jul-1997,397400
Aug-1997,330400
Sep-1997,330900
Oct-1997,366500
Nov-1997,379500
Dec-1997,448300
Jan-1998,346200
Feb-1998,353600
Mar-1998,338600
Apr-1998,341100
May-1998,283400
Jun-1998,304200
Jul-1998,372300
Aug-1998,323700
Sep-1998,323900
Oct-1998,354800
Nov-1998,367900
Dec-1998,457600
Jan-1999,351000
Feb-1999,398600
Mar-1999,389000
Apr-1999,334100
May-1999,298100
Jun-1999,317100
Jul-1999,388500
Aug-1999,355600
Sep-1999,353100
