Z,road_length,road_count,restaurant_count,veg_count,lng,lat
181,1628.279151,4,0,0,120.973,31.04190788
96,1952.233294,10,0,0,120.973,31.06896033
172,1262.327581,6,1,0,120.973,31.07797778
162,697.6186545,2,0,0,120.973,31.05092538
118,2642.020572,8,1,0,120.973,31.05994286
326,1806.4652,4,0,0,120.974,31.02387285
235,1979.384814,8,0,0,120.974,31.03289037
57,0,0,0,0,120.974,31.01485531
0,0,0,0,0,120.982,31.11421205
0,0,0,0,0,120.982,31.12322949
0,0,0,0,0,120.982,31.13224692
25,0,0,0,0,120.982,31.10519459
68,443.7835135,3,0,0,120.983,31.06912462
59,2992.263626,13,0,0,120.983,31.07814214
240,3775.353954,19,0,0,120.983,31.08715963
273,999.9663534,4,0,0,120.983,31.0601071
193,1046.693705,16,2,0,120.983,31.09617712
210,1536.036849,3,0,0,120.984,31.02403686
177,394.1934323,1,0,0,120.984,31.03305444
245,1390.159822,5,0,0,120.984,31.042072
57,0,0,0,0,120.984,31.01501926
186,4247.886175,28,4,0,120.984,31.05108956
227,0,0,0,0,120.985,30.99698403
173,0,0,0,0,120.985,31.00600165
300,0,0,0,0,120.985,30.96993108
300,0,0,0,0,120.986,30.95189572
331,0,0,0,0,120.986,30.96091341
3327,818.4613511,5,0,0,120.987,30.89778929
3327,0,0,0,0,120.987,30.90680706
879,0,0,0,0,120.987,30.88877151
460,750.2533335,2,0,0,120.988,30.82564663
173,1097.378012,4,0,0,120.988,30.83466451
173,0,0,0,0,120.988,30.84368238
39,0,0,0,0,120.992,31.13241078
227,2317.532543,17,0,0,120.993,31.0873232
47,0,0,0,0,120.993,31.11437579
0,0,0,0,0,120.993,31.12339329
301,1184.046415,10,0,0,120.993,31.09634074
241,521.2381054,1,0,0,120.993,31.10535827
230,1517.994213,7,1,0,120.994,31.03321765
245,4263.832971,16,0,0,120.994,31.04223528
181,319.8837796,1,0,0,120.994,31.06928807
48,3461.763395,10,0,0,120.994,31.07830564
287,1375.760826,8,0,0,120.994,31.05125289
319,1000.922775,2,0,0,120.994,31.06027049
124,1740.329173,5,0,0,120.995,31.02420001
227,0,0,0,0,120.995,30.99714702
173,0,0,0,0,120.995,31.0061647
98,1540.593297,4,0,0,120.995,31.01518236
311,0,0,0,0,120.995,30.98812932
356,1127.700275,10,0,0,120.996,30.94304065
309,254.0261477,4,0,0,120.996,30.97911162
300,222.8308598,2,0,0,120.996,30.95205841
331,1488.1665,9,0,0,120.996,30.96107616
300,1710.844276,9,0,0,120.996,30.9700939
420,0,0,0,0,120.997,30.92500509
364,802.5473611,3,0,0,120.997,30.93402288
3327,3608.581159,15,0,0,120.997,30.89795164
8026,2125.54583,20,0,0,120.997,30.90696947
3867,0,0,0,0,120.997,30.91598729
224,1506.881314,6,0,0,120.998,30.84384438
588,0,0,0,0,120.998,30.8889338
365,0,0,0,0,120.998,30.85286229
0,0,0,0,0,120.999,30.82580852
462,2375.238558,13,0,0,120.999,30.83482645
183,4630.797331,49,2,0,121.003,31.11453867
116,314.5820014,1,0,0,121.003,31.12355623
39,0,0,0,0,121.003,31.13257378
305,993.404327,14,4,0,121.003,31.1055211
275,244.551858,1,0,0,121.004,31.06945067
152,1622.019406,10,0,0,121.004,31.0784683
283,0,0,0,0,121.004,31.08748591
331,1099.468342,5,8,0,121.004,31.06043303
265,1527.046485,12,3,0,121.004,31.09650351
180,1010.409481,2,0,0,121.005,31.02436232
245,0,0,0,0,121.005,31.03338002
246,0,0,0,0,121.005,31.0423977
145,1019.796729,1,0,0,121.005,31.01534461
331,547.5788337,2,0,0,121.005,31.05141537
275,1276.689998,9,0,0,121.006,30.99730915
221,0,0,0,0,121.006,31.00632689
331,4193.713944,11,2,0,121.006,30.97025586
327,2519.372675,8,0,0,121.006,30.97927364
2862,0,0,0,0,121.006,30.9882914
331,3796.533426,14,0,0,121.006,30.96123807
455,1853.268951,8,0,0,121.007,30.92516677
284,1660.451873,9,0,0,121.007,30.93418461
356,2533.467596,19,0,0,121.007,30.94320244
4865,6076.384168,88,0,0,121.007,30.91614891
279,1843.362633,7,0,0,121.007,30.95222026
18841,4685.794803,52,0,0,121.008,30.89811315
8026,12342.00608,152,0,0,121.008,30.90713103
365,0,0,0,0,121.008,30.88007733
5389,5329.22423,50,9,0,121.008,30.88909525
365,220.765735,1,0,0,121.008,30.8710594
468,705.212275,7,0,0,121.009,30.83498756
224,451.4337186,3,0,0,121.009,30.84400554
365,1897.445356,8,0,0,121.009,30.85302351
365,1026.263254,1,0,0,121.009,30.86204146
286,0,0,0,0,121.013,31.14175351
249,215.1081222,6,0,0,121.013,31.13273593
303,204.6428727,1,0,0,121.014,31.08764777
269,1771.324683,14,1,0,121.014,31.1147007
296,2345.191054,15,0,0,121.014,31.12371832
275,1838.693037,14,0,0,121.014,31.09666543
218,3923.928253,34,5,0,121.014,31.10568307
236,205.4570814,1,0,0,121.015,31.03354154
322,0,0,0,0,121.015,31.04255928
252,1566.719764,4,0,0,121.015,31.06961242
313,309.0603401,1,0,0,121.015,31.0786301
331,264.6124267,1,0,0,121.015,31.051577
286,0,0,0,0,121.015,31.06059472
324,1000.560564,1,0,0,121.016,31.02452378
151,2045.483521,10,0,0,121.016,30.99747044
225,200.627377,1,0,0,121.016,31.00648824
128,2291.817676,9,1,0,121.016,31.01550602
2862,0,0,0,0,121.016,30.98845263
172,637.9939328,4,0,0,121.017,30.9343455
2595,618.7188796,7,0,0,121.017,30.94336339
296,5557.175764,32,0,0,121.017,30.97041698
8631,4270.866688,27,0,0,121.017,30.97943481
2099,1182.57292,7,0,0,121.017,30.95238127
2666,3580.237742,19,0,0,121.017,30.96139913
162,1332.766925,9,0,0,121.018,30.9253276
6315,9513.45032,79,0,0,121.018,30.89827381
2923,4137.821876,26,0,0,121.018,30.90729175
140,906.915588,10,0,0,121.018,30.91630968
5389,4373.219747,41,3,0,121.018,30.88925585
293,1208.769853,4,0,0,121.019,30.84416586
365,1543.057962,10,0,0,121.019,30.88023788
365,407.4466321,5,0,0,121.019,30.85318388
365,1650.967562,5,0,0,121.019,30.8622019
365,1173.948299,3,0,0,121.019,30.87121989
547,0,0,0,0,121.02,30.82612977
239,424.5048335,1,0,0,121.02,30.83514782
286,908.9630018,2,1,0,121.024,31.14191487
1120,1384.534108,6,1,0,121.024,31.11486189
276,2910.509855,18,1,0,121.024,31.12387956
298,1862.770567,16,0,0,121.024,31.13289722
220,808.0877943,16,6,0,121.024,31.1058442
261,229.1135876,1,0,0,121.025,31.06977331
326,1204.242393,3,0,0,121.025,31.07879105
303,1144.192081,5,0,0,121.025,31.08780878
2596,2652.251135,10,0,0,121.025,31.06075556
296,3530.839296,17,0,0,121.025,31.0968265
234,1999.823109,6,0,0,121.026,31.0246844
145,2754.545544,7,0,0,121.026,31.03370221
280,69.65424394,1,0,0,121.026,31.04272
211,2289.205462,10,0,0,121.026,31.00664873
158,793.5661528,5,0,0,121.026,31.01566657
331,626.2872678,1,0,0,121.026,31.05173779
285,0,0,0,0,121.027,30.99763088
188,4613.347434,38,8,0,121.027,30.97057725
2601,3173.864751,20,18,0,121.027,30.97959514
12633,761.6310986,1,0,0,121.027,30.98861302
154,1943.259689,12,0,0,121.027,30.96155934
1348,434.2127533,3,0,0,121.028,30.92548758
1023,1524.624717,5,0,0,121.028,30.93450554
175,1302.479452,5,0,0,121.028,30.94352349
203,2860.935983,9,0,0,121.028,30.91646961
165,318.4857998,3,0,0,121.028,30.95254142
259,4463.427341,32,0,0,121.029,30.89843362
287,1401.898334,11,0,0,121.029,30.90745162
365,1934.679159,15,0,0,121.029,30.88039758
266,3350.302891,12,0,0,121.029,30.88941561
365,345.5717633,2,0,0,121.029,30.86236148
365,1358.222817,4,0,0,121.029,30.87137954
0,282.7991029,1,0,0,121.03,30.81727101
547,79.92832201,3,0,0,121.03,30.82628913
465,621.7227461,6,0,0,121.03,30.83530724
364,1134.749897,2,0,0,121.03,30.84432533
365,1635.084105,7,0,0,121.03,30.85334342
257,0,0,0,0,121.034,31.14207537
237,0,0,0,0,121.034,31.15109306
235,5628.357966,51,6,0,121.034,31.13305766
311,1004.931803,2,0,0,121.035,31.07895116
331,1442.549065,2,0,0,121.035,31.08796894
672,2894.255956,13,0,0,121.035,31.11502222
242,4852.106626,30,4,0,121.035,31.12403995
296,1642.302645,8,1,0,121.035,31.09698671
331,4408.085016,19,0,0,121.035,31.10600447
1744,1673.229986,4,0,0,121.036,31.03386203
279,2634.36011,11,0,0,121.036,31.04287988
284,0,0,0,0,121.036,31.06993336
331,1276.068316,6,0,0,121.036,31.05189772
2596,733.4654389,1,0,0,121.036,31.06091555
165,4184.640958,15,0,0,121.037,31.02484416
240,2518.666268,17,2,0,121.037,30.99779048
198,6624.268562,49,14,0,121.037,31.00680838
228,4999.77054,58,30,0,121.037,31.01582628
141,152.5039722,1,0,0,121.037,30.97975462
1959,981.0718246,1,0,0,121.037,30.98877256
167,2728.512851,12,0,0,121.038,30.93466474
194,3355.235299,16,0,0,121.038,30.94368274
146,1952.792177,12,0,0,121.038,30.97073667
183,3235.871166,12,0,0,121.038,30.95270073
207,2340.449274,11,0,0,121.038,30.96171871
186,2476.821816,16,0,0,121.039,30.92564673
30,1685.855906,14,0,0,121.039,30.89859259
5,1013.821213,4,0,0,121.039,30.90761065
141,3232.38057,23,0,0,121.039,30.9166287
285,2965.615083,10,0,0,121.039,30.88957452
658,785.7022946,2,0,0,121.04,30.83546581
559,706.4398999,4,0,0,121.04,30.84448397
365,2636.060155,15,0,0,121.04,30.88055644
365,1754.995342,8,0,0,121.04,30.8535021
365,1943.27666,5,0,0,121.04,30.86252023
365,1237.893808,10,0,0,121.04,30.87153834
0,99.20989701,1,0,0,121.041,30.81742947
0,0,0,0,0,121.041,30.82644765
237,693.9983703,2,0,0,121.044,31.15125276
237,0,0,0,0,121.044,31.1602705
0,239.7385141,1,2,0,121.045,31.14223502
2,3803.094572,45,105,0,121.045,31.1151817
93,4268.25693,33,13,0,121.045,31.12419948
309,1611.330003,10,4,0,121.045,31.13321726
124,4267.405826,54,89,1,121.045,31.10616389
322,824.5415422,2,0,0,121.046,31.07009255
140,3554.617785,42,6,0,121.046,31.07911041
8918,2828.306952,25,1,0,121.046,31.08812825
219,1277.864785,4,0,0,121.046,31.0520568
228,1421.621813,4,0,0,121.046,31.06107469
688,614.3225232,5,0,0,121.046,31.09714608
331,1663.795517,8,0,0,121.047,31.02500307
165,1737.023785,13,1,0,121.047,31.034021
300,1446.630939,8,1,0,121.047,31.04303891
5865,2130.419219,13,0,0,121.047,31.00696719
6718,3699.599306,26,2,0,121.047,31.01598514
194,1597.3747,8,1,0,121.048,30.99794922
267,915.8577132,6,0,0,121.048,30.97089525
265,537.3127659,5,1,0,121.048,30.97991325
266,191.3058367,1,0,0,121.048,30.98893125
191,2050.283777,11,1,0,121.048,30.96187723
183,603.8689421,1,0,0,121.049,30.92580502
149,4423.311831,28,0,0,121.049,30.93482309
151,1648.775649,7,0,0,121.049,30.94384115
148,1075.2249,4,0,0,121.049,30.90776883
207,2462.920846,8,0,0,121.049,30.91678693
207,2399.292454,8,1,0,121.049,30.9528592
96,4218.21993,25,0,0,121.05,30.89875072
364,897.8948198,7,1,0,121.05,30.88071445
159,5531.881552,40,0,0,121.05,30.88973259
345,1233.532681,2,0,0,121.05,30.86267813
324,945.5775241,7,0,0,121.05,30.8716963
658,350.2513744,2,0,0,121.051,30.83562355
251,0,0,0,0,121.051,30.84464176
302,681.8513319,3,0,0,121.051,30.85365995
331,0,0,0,0,121.053,31.24158889
331,331.2160743,8,0,0,121.053,31.25060654
329,0,0,0,0,121.053,31.25962418
206,0,0,0,0,121.053,31.26864181
331,0,0,0,0,121.053,31.22355354
331,0,0,0,0,121.053,31.23257122
331,0,0,0,0,121.054,31.21453585
219,1960.677334,6,0,0,121.055,31.14239381
190,1481.875253,4,0,0,121.055,31.15141161
86,1740.243364,8,0,0,121.055,31.12435817
309,1507.144623,9,0,0,121.055,31.133376
253,5616.864149,46,18,0,121.056,31.07926881
10647,6346.832487,49,0,0,121.056,31.08828671
130,6090.570859,77,137,0,121.056,31.11534032
13264,1161.947941,13,0,0,121.056,31.09730459
430,5592.411084,59,52,0,121.056,31.10632246
165,1413.159711,5,0,0,121.057,31.03417912
299,3840.116215,35,0,0,121.057,31.0702509
195,1931.173722,6,0,0,121.057,31.04319709
136,241.2598269,1,0,0,121.057,31.05221504
331,0,0,0,0,121.057,31.06123298
295,1008.064258,1,0,0,121.058,31.02516114
3253,1710.252128,17,3,0,121.058,30.99810712
7568,4457.418834,66,0,0,121.058,31.00712514
12698,2218.648508,8,1,0,121.058,31.01614315
275,943.2760831,5,0,0,121.058,30.98007104
272,1857.185772,23,2,0,121.058,30.98908909
130,8103.871578,51,8,0,121.059,30.9349806
100,2642.090201,7,0,0,121.059,30.94399871
265,1429.394341,6,0,0,121.059,30.97105298
207,3591.175625,17,0,0,121.059,30.95301682
175,848.0632956,3,0,0,121.059,30.9620349
176,5614.186689,25,0,0,121.06,30.92596247
363,1260.12131,3,0,0,121.06,30.898908
183,544.8343982,3,0,0,121.06,30.90792617
207,2707.750345,11,0,0,121.06,30.91694433
221,1423.437383,7,0,0,121.06,30.88087162
226,0,0,0,0,121.06,30.88988982
0,0,0,0,0,121.061,30.83578044
0,72.48819827,1,0,0,121.061,30.8447987
512,437.6209215,1,0,0,121.061,30.85381695
365,42.35094917,1,0,0,121.061,30.86283519
220,2652.595926,5,0,0,121.061,30.87185341
331,1641.879164,9,0,0,121.063,31.25076516
329,411.0667658,2,0,0,121.063,31.25978285
206,907.2454087,3,0,0,121.063,31.26880053
331,1621.600838,8,0,0,121.064,31.24174745
315,0,0,0,0,121.064,31.20567648
331,800.6233058,2,0,0,121.064,31.21469424
331,210.357912,1,0,0,121.064,31.22371199
331,2126.395743,9,0,0,121.064,31.23272972
291,401.3109362,2,0,0,121.065,31.18764091
210,816.5630618,6,0,0,121.065,31.1966587
215,1838.981018,11,0,0,121.065,31.15156961
178,0,0,0,0,121.065,31.16058746
279,0,0,0,0,121.065,31.16960529
227,29.03525026,1,0,0,121.065,31.17862311
294,631.3899309,3,0,0,121.066,31.14255175
301,2468.229281,26,4,0,121.066,31.1154981
296,1380.483131,6,0,0,121.066,31.124516
253,2017.830971,8,1,0,121.066,31.13353388
230,2819.464911,27,12,0,121.066,31.10648018
217,1264.165597,8,0,0,121.067,31.0704084
270,2102.875702,16,1,0,121.067,31.07942636
264,7050.84777,53,3,0,121.067,31.08844432
288,0,0,0,0,121.067,31.05237242
313,665.7009402,1,1,0,121.067,31.06139042
6577,2604.709628,15,0,0,121.067,31.09746226
298,1045.368959,4,0,0,121.068,31.02531836
168,3724.884325,19,5,0,121.068,31.03433639
276,1703.108928,11,0,0,121.068,31.00728225
331,2336.793895,10,0,0,121.068,31.01630031
12,974.7336373,2,0,0,121.068,31.04335441
196,1149.030967,6,0,0,121.069,30.99826417
207,1898.778975,12,0,0,121.069,30.97120986
269,1718.632893,5,0,0,121.069,30.98022798
250,3916.096367,46,14,0,121.069,30.98924608
100,2702.566904,12,0,0,121.069,30.95317359
196,2324.175835,6,0,0,121.069,30.96219173
195,1791.986054,9,0,0,121.07,30.92611908
195,3581.877031,28,6,0,121.07,30.93513726
94,3284.287341,16,2,0,121.07,30.94415543
325,519.9034052,2,0,0,121.07,30.90808267
207,2848.129147,13,0,0,121.07,30.91710088
274,1009.821563,1,0,0,121.071,30.89906444
1,1965.641244,7,0,0,121.071,30.88102795
174,262.8697752,1,0,0,121.071,30.8900462
650,1315.865345,3,0,0,121.071,30.85397311
332,1054.504199,13,0,0,121.071,30.86299141
309,3786.272356,23,0,0,121.071,30.87200969
317,0,0,0,0,121.073,31.27797612
299,0,0,0,0,121.073,31.28699383
296,1356.832801,3,0,0,121.074,31.24190515
325,1627.953903,13,2,0,121.074,31.25092291
301,5288.709167,45,26,0,121.074,31.25994066
230,2138.780897,15,0,0,121.074,31.2689584
205,1160.57854,4,0,0,121.074,31.22386958
331,2464.626675,13,0,0,121.074,31.23288737
291,91.21346304,2,0,0,121.075,31.18779828
331,3142.132412,11,0,0,121.075,31.19681612
331,1209.182843,5,0,0,121.075,31.20583396
317,1053.395568,7,0,0,121.075,31.21485177
304,1810.490902,9,0,0,121.075,31.17878042
282,76.83340695,1,0,0,121.076,31.14270884
242,2666.525235,16,0,0,121.076,31.15172676
178,1137.322311,4,2,0,121.076,31.16074466
283,1183.236473,5,0,0,121.076,31.12467297
136,0,0,1,0,121.076,31.13369092
279,1735.063409,10,1,0,121.076,31.16976254
286,2299.931828,12,0,0,121.077,31.07958306
204,2880.974287,11,0,0,121.077,31.08860107
306,1429.699034,2,0,0,121.077,31.11565502
277,770.2641534,3,0,0,121.077,31.09761907
327,1754.09848,4,0,0,121.077,31.10663705
262,236.6771043,1,0,0,121.078,31.02547473
106,5009.795995,40,0,0,121.078,31.03449282
188,490.9899874,2,0,0,121.078,31.07056504
134,656.2796897,3,0,0,121.078,31.04351089
321,235.0724869,2,0,0,121.078,31.05252896
206,385.6578433,2,0,0,121.078,31.06154701
271,130.8288085,2,0,0,121.079,30.99842037
317,876.7792315,2,0,0,121.079,31.0074385
276,4.07968648,1,0,0,121.079,31.01645662
268,3517.956913,11,7,0,121.079,30.98038407
299,2881.918734,14,7,0,121.079,30.98940223
365,1858.715765,7,0,0,121.08,30.92627483
160,7638.702142,129,11,0,121.08,30.93529307
141,5461.641836,22,3,0,121.08,30.9443113
201,2900.92204,11,1,0,121.08,30.9713659
106,2675.698442,15,1,0,121.08,30.95332951
115,913.8377298,5,0,0,121.08,30.96234771
297,2442.533254,20,0,0,121.081,30.89922003
281,2084.226573,10,0,0,121.081,30.90823831
207,2982.392126,12,0,0,121.081,30.91725658
1,5235.405604,55,0,0,121.081,30.88118343
120,2832.071629,17,0,0,121.081,30.89020174
667,1328.695959,6,0,0,121.082,30.85412843
94,2477.161989,12,0,0,121.082,30.86314678
271,3110.810328,20,0,0,121.082,30.87216511
299,114.5504453,2,0,0,121.083,31.29616871
331,3242.450949,20,1,0,121.084,31.25107981
331,3048.709225,32,8,0,121.084,31.26009762
290,3071.39207,15,2,0,121.084,31.26911541
317,1650.228133,7,0,0,121.084,31.27813319
299,2087.175426,12,0,0,121.084,31.28715096
331,4675.213361,20,0,0,121.085,31.19697269
331,786.3774082,4,0,0,121.085,31.24206199
2084,3407.18584,15,0,0,121.085,31.20599058
394,4192.530652,29,23,0,121.085,31.21500845
119,1807.269545,12,0,0,121.085,31.22402631
329,2428.093025,10,0,0,121.085,31.23304416
258,193.0164744,1,1,0,121.086,31.18795479
3097,4191.046582,60,4,0,121.086,31.15188305
17886,10330.57171,196,14,0,121.086,31.16090101
15515,3124.047972,25,20,0,121.086,31.16991895
18122,1297.862286,7,0,0,121.086,31.17893688
2787,2938.32374,22,209,0,121.087,31.14286508
161,814.9429652,3,0,0,121.087,31.11581109
328,1193.715745,4,0,0,121.087,31.1248291
288,2331.619505,15,1,0,121.087,31.1338471
179,351.8817974,2,0,0,121.087,31.09777503
239,769.2129473,4,0,0,121.087,31.10679307
265,1335.511822,6,0,0,121.088,31.07072084
286,1028.275794,9,0,0,121.088,31.07973892
110,1391.917989,4,0,0,121.088,31.08875698
164,1088.096864,2,0,0,121.088,31.05268464
181,1351.902557,2,0,0,121.088,31.06170275
37,1008.173821,9,0,0,121.089,31.02563024
102,2701.586191,21,3,0,121.089,31.03464839
214,0,0,0,0,121.089,30.99857573
260,1230.324553,3,0,0,121.089,31.00759391
277,0,0,0,0,121.089,31.01661209
168,521.4606484,5,1,0,121.089,31.04366652
183,2699.210039,15,0,0,121.09,30.97152109
268,369.5883211,1,0,0,121.09,30.98053931
221,212.6678018,2,0,0,121.09,30.98955753
62,2440.674177,12,0,0,121.09,30.95348459
173,2479.251738,8,0,0,121.09,30.96250285
266,1081.306131,4,0,0,121.091,30.92642975
190,3962.282835,24,3,0,121.091,30.93544804
182,3388.463613,16,0,0,121.091,30.94446632
287,244.0269272,3,0,0,121.091,30.89937478
348,1588.637259,7,0,0,121.091,30.90839312
365,0,0,0,0,121.091,30.91741144
90,189.4637861,1,0,0,121.092,30.88133807
277,321.6615618,1,0,0,121.092,30.89035643
526,0,0,0,0,121.092,30.8542829
402,5203.260061,18,1,0,121.092,30.86330131
294,2923.481616,11,0,0,121.092,30.8723197
317,769.8304867,3,0,0,121.094,31.2782894
217,273.9795316,1,0,0,121.094,31.28730722
329,2581.469479,8,0,0,121.095,31.24221798
294,2054.992943,11,0,0,121.095,31.25123586
331,4490.888257,21,5,0,121.095,31.26025372
275,2058.028852,13,0,0,121.095,31.26927157
97,2125.37831,6,0,0,121.095,31.22418219
301,4528.035401,21,0,0,121.095,31.23320009
133,471.0584832,6,0,0,121.096,31.18811045
322,1879.441889,10,2,0,121.096,31.19712841
3420,2011.644541,23,2,0,121.096,31.20614635
933,11263.67041,190,30,0,121.096,31.21516428
18122,2788.110846,21,1,0,121.096,31.17909248
2125,7530.343707,94,6,0,121.097,31.14302046
24498,12441.24381,224,70,0,121.097,31.15203849
33870,11497.16009,175,21,0,121.097,31.1610565
256,2421.334063,10,0,0,121.097,31.12498438
329,5577.145056,53,2,0,121.097,31.13400243
40740,3450.009282,24,13,0,121.097,31.1700745
4050,620.1595148,3,0,0,121.098,31.07989392
343,415.349529,2,0,0,121.098,31.08891203
302,887.5171874,3,0,0,121.098,31.11596631
204,3259.578862,14,0,0,121.098,31.09793014
167,988.2721478,10,0,0,121.098,31.10694823
67,3213.451407,18,0,0,121.099,31.02578492
96,2149.696987,13,0,0,121.099,31.03480312
2672,1825.620701,5,0,0,121.099,31.07087578
188,1032.359094,1,0,0,121.099,31.0438213
204,1344.116863,3,0,0,121.099,31.05283948
