公司名称	披露日期	上市地和板块	保荐机构	披露类型
上海太和水环境科技发展股份有限公司	2020-01-03	上交所	中原证券股份有限公司	预先披露更新
济南圣泉集团股份有限公司	2020-01-03	上交所	长城证券股份有限公司	预先披露
浙江省新能源投资集团股份有限公司	2020-01-03	上交所	财通证券股份有限公司	预先披露
神通科技集团股份有限公司	2020-01-03	上交所	广发证券股份有限公司	预先披露更新
苏州市味知香食品股份有限公司	2020-01-03	上交所	国泰君安证券股份有限公司	预先披露
重庆四方新材股份有限公司	2020-01-03	上交所	中原证券股份有限公司	预先披露更新
宁波世茂能源股份有限公司	2019-12-27	上交所	东方花旗证券有限公司	预先披露
江西九丰能源股份有限公司	2019-12-27	上交所	中国国际金融股份有限公司	预先披露
浙江大自然户外用品股份有限公司	2019-12-27	上交所	东方花旗证券有限公司	预先披露
浙江李子园食品股份有限公司	2019-12-26	上交所	财通证券股份有限公司	预先披露
浙江迎丰科技股份有限公司	2019-12-26	上交所	国元证券股份有限公司	预先披露
王力安防科技股份有限公司	2019-12-26	上交所	海通证券股份有限公司	预先披露
长春英利汽车工业股份有限公司	2019-12-26	上交所	中信证券股份有限公司	预先披露
陕西北元化工集团股份有限公司	2019-12-26	上交所	华泰联合证券有限责任公司	预先披露
上海健麾信息技术股份有限公司	2019-12-20	上交所	国信证券股份有限公司	预先披露更新
江苏嵘泰工业股份有限公司	2019-12-20	上交所	广发证券股份有限公司	预先披露更新
浙江一鸣食品股份有限公司	2019-12-20	上交所	中信证券股份有限公司	预先披露更新
浙江天正电气股份有限公司	2019-12-20	上交所	国泰君安证券股份有限公司	预先披露更新
浙江帅丰电器股份有限公司	2019-12-20	上交所	国信证券股份有限公司	预先披露更新
苏州林华医疗器械股份有限公司	2019-12-20	上交所	国泰君安证券股份有限公司	预先披露
衢州五洲特种纸业股份有限公司	2019-12-20	上交所	华创证券有限责任公司	预先披露更新
财达证券股份有限公司	2019-12-20	上交所	中信建投证券股份有限公司	预先披露
伟时电子股份有限公司	2019-12-13	上交所	民生证券股份有限公司	预先披露更新
山西华翔集团股份有限公司	2019-12-13	上交所	国泰君安证券股份有限公司	预先披露更新
杭州华旺新材料科技股份有限公司	2019-12-13	上交所	中信建投证券股份有限公司	预先披露更新
中饮巴比食品股份有限公司	2019-12-12	上交所	国元证券股份有限公司	预先披露更新
山东百龙创园生物科技股份有限公司	2019-12-12	上交所	中德证券有限责任公司	预先披露
无锡派克新材料科技股份有限公司	2019-12-12	上交所	东兴证券股份有限公司	预先披露更新
森林包装集团股份有限公司	2019-12-12	上交所	光大证券股份有限公司	预先披露更新
浙江华达新型材料股份有限公司	2019-12-12	上交所	海通证券股份有限公司	预先披露更新
浙江拱东医疗器械股份有限公司	2019-12-12	上交所	中泰证券股份有限公司	预先披露更新
舒华体育股份有限公司	2019-12-12	上交所	中信证券股份有限公司	预先披露更新
齐鲁银行股份有限公司	2019-12-12	上交所	中信建投证券股份有限公司	预先披露更新
厦门建霖健康家居股份有限公司	2019-12-06	上交所	长江证券承销保荐有限公司	预先披露更新
晶科电力科技股份有限公司	2019-11-27	上交所	中信建投证券股份有限公司	预先披露更新
奥锐特药业股份有限公司	2019-11-22	上交所	安信证券股份有限公司	预先披露更新
德才装饰股份有限公司	2019-11-22	上交所	光大证券股份有限公司	预先披露
龙岩高岭土股份有限公司	2019-11-22	上交所	兴业证券股份有限公司	预先披露
上海华峰铝业股份有限公司	2019-11-19	上交所	兴业证券股份有限公司	预先披露更新
上海沿浦金属制品股份有限公司	2019-11-19	上交所	中银国际证券股份有限公司	预先披露更新
上海新炬网络信息技术股份有限公司	2019-11-15	上交所	中国国际金融股份有限公司	预先披露更新
京沪高速铁路股份有限公司	2019-11-06	上交所	中信建投证券股份有限公司	预先披露更新
华丰动力股份有限公司	2019-11-06	上交所	国金证券股份有限公司	预先披露更新
全美在线（北京）教育科技股份有限公司	2019-11-01	上交所	中信建投证券股份有限公司	预先披露更新
杭州聚合顺新材料股份有限公司	2019-11-01	上交所	广发证券股份有限公司	预先披露更新
上海丽人丽妆化妆品股份有限公司	2019-10-31	上交所	广发证券股份有限公司	预先披露更新
山东玻纤集团股份有限公司	2019-10-31	上交所	民生证券股份有限公司	预先披露更新
江西国光商业连锁股份有限公司	2019-10-31	上交所	中信证券股份有限公司	预先披露更新
京沪高速铁路股份有限公司	2019-10-25	上交所	中信建投证券股份有限公司	预先披露
北京新时空科技股份有限公司	2019-10-25	上交所	中信建投证券股份有限公司	预先披露更新
嘉兴斯达半导体股份有限公司	2019-10-25	上交所	中信证券股份有限公司	预先披露更新
江苏共创人造草坪股份有限公司	2019-10-25	上交所	中信证券股份有限公司	预先披露更新
西藏运高新能源股份有限公司	2019-10-25	上交所	长江证券承销保荐有限公司	预先披露更新
青岛威奥轨道股份有限公司	2019-10-25	上交所	中信建投证券股份有限公司	预先披露更新
上海盛剑环境系统科技股份有限公司	2019-10-18	上交所	海通证券股份有限公司	预先披露
宁波长鸿高分子科技股份有限公司	2019-10-18	上交所	华西证券股份有限公司	预先披露更新
常州市凯迪电器股份有限公司	2019-10-18	上交所	中信建投证券股份有限公司	预先披露更新
江西宏柏新材料股份有限公司	2019-10-18	上交所	中信证券股份有限公司	预先披露更新
福然德股份有限公司	2019-10-18	上交所	中信建投证券股份有限公司	预先披露更新
三人行传媒集团股份有限公司	2019-10-15	上交所	兴业证券股份有限公司	预先披露更新
中国邮政储蓄银行股份有限公司	2019-10-15	上交所	中国国际金融股份有限公司,中邮证券有限责任公司	预先披露更新
厦门力鼎光电股份有限公司	2019-10-15	上交所	国金证券股份有限公司	预先披露更新
昆山沪光汽车电器股份有限公司	2019-10-15	上交所	中信建投证券股份有限公司	预先披露更新
上海起帆电缆股份有限公司	2019-10-09	上交所	海通证券股份有限公司	预先披露更新
温州市冠盛汽车零部件集团股份有限公司	2019-10-09	上交所	国金证券股份有限公司	预先披露更新
佳禾食品工业股份有限公司	2019-09-27	上交所	东吴证券股份有限公司	预先披露
税友软件集团股份有限公司	2019-09-27	上交所	国金证券股份有限公司	预先披露
浙江越剑智能装备股份有限公司	2019-09-26	上交所	浙商证券股份有限公司	预先披露更新
江苏同力日升机械股份有限公司	2019-09-06	上交所	中原证券股份有限公司	预先披露
湖南宇新能源科技股份有限公司	2019-09-05	上交所	安信证券股份有限公司	预先披露更新
爱玛科技集团股份有限公司	2019-09-05	上交所	中信证券股份有限公司	预先披露更新
重庆三峰环境集团股份有限公司	2019-09-05	上交所	中信建投证券股份有限公司	预先披露更新
中际联合（北京）科技股份有限公司	2019-08-30	上交所	中信建投证券股份有限公司	预先披露
张家港爱丽家居科技股份有限公司	2019-08-30	上交所	广发证券股份有限公司	预先披露
浙江建业化工股份有限公司	2019-08-22	上交所	浙商证券股份有限公司	预先披露更新
上海锦和商业经营管理股份有限公司	2019-08-16	上交所	中信建投证券股份有限公司	预先披露更新
贵州三力制药股份有限公司	2019-08-14	上交所	申港证券股份有限公司	预先披露更新
万联证券股份有限公司	2019-07-05	上交所	瑞银证券有限责任公司	预先披露
上海农村商业银行股份有限公司	2019-07-05	上交所	海通证券股份有限公司,国泰君安证券股份有限公司	预先披露
上海永茂泰汽车科技股份有限公司	2019-07-05	上交所	华泰联合证券有限责任公司	预先披露
东方航空物流股份有限公司	2019-07-05	上交所	中国国际金融股份有限公司	预先披露
云南健之佳健康连锁店股份有限公司	2019-07-05	上交所	红塔证券股份有限公司	预先披露
无锡市振华汽车部件股份有限公司	2019-07-05	上交所	国泰君安证券股份有限公司	预先披露
浙江新中港清洁能源股份有限公司	2019-07-05	上交所	平安证券股份有限公司	预先披露
中国邮政储蓄银行股份有限公司	2019-06-28	上交所	中国国际金融股份有限公司,中邮证券有限责任公司	预先披露
中国黄金集团黄金珠宝股份有限公司	2019-06-28	上交所	中信证券股份有限公司	预先披露
佳农食品控股（集团）股份有限公司	2019-06-28	上交所	中国国际金融股份有限公司	预先披露
北京城建设计发展集团股份有限公司	2019-06-28	上交所	中信证券股份有限公司	预先披露
北京正和恒基滨水生态环境治理股份有限公司	2019-06-28	上交所	招商证券股份有限公司	预先披露
北大荒垦丰种业股份有限公司	2019-06-28	上交所	中国银河证券股份有限公司	预先披露
合兴汽车电子股份有限公司	2019-06-28	上交所	国泰君安证券股份有限公司	预先披露
天津友发钢管集团股份有限公司	2019-06-28	上交所	东兴证券股份有限公司	预先披露
宁波德业科技股份有限公司	2019-06-28	上交所	光大证券股份有限公司	预先披露
常州澳弘电子股份有限公司	2019-06-28	上交所	国金证券股份有限公司	预先披露
广州九恒条码股份有限公司	2019-06-28	上交所	东兴证券股份有限公司	预先披露
成都立航科技股份有限公司	2019-06-28	上交所	华西证券股份有限公司	预先披露
新亚强硅化学股份有限公司	2019-06-28	上交所	国金证券股份有限公司	预先披露
新亚电子股份有限公司	2019-06-28	上交所	长江证券承销保荐有限公司	预先披露
明新旭腾新材料股份有限公司	2019-06-28	上交所	第一创业证券承销保荐有限责任公司	预先披露
杭州康基医疗器械股份有限公司	2019-06-28	上交所	中信证券股份有限公司	预先披露
杭州格林达电子材料股份有限公司	2019-06-28	上交所	兴业证券股份有限公司	预先披露
杭州热电集团股份有限公司	2019-06-28	上交所	平安证券股份有限公司	预先披露
杭州联德精密机械股份有限公司	2019-06-28	上交所	中信证券股份有限公司	预先披露
江苏剑牌农化股份有限公司	2019-06-28	上交所	东吴证券股份有限公司	预先披露
江苏协和电子股份有限公司	2019-06-28	上交所	民生证券股份有限公司	预先披露
江苏博迁新材料股份有限公司	2019-06-28	上交所	海通证券股份有限公司	预先披露
江苏必得科技股份有限公司	2019-06-28	上交所	兴业证券股份有限公司	预先披露
河北华通线缆集团股份有限公司	2019-06-28	上交所	东兴证券股份有限公司	预先披露
浙江西大门新材料股份有限公司	2019-06-28	上交所	浙商证券股份有限公司	预先披露
浙江野马电池股份有限公司	2019-06-28	上交所	光大证券股份有限公司	预先披露
浙江长华汽车零部件股份有限公司	2019-06-28	上交所	长城证券股份有限公司	预先披露
海天水务集团股份公司	2019-06-28	上交所	华西证券股份有限公司	预先披露
科迈化工股份有限公司	2019-06-28	上交所	民生证券股份有限公司	预先披露
上海健麾信息技术股份有限公司	2019-06-21	上交所	国信证券股份有限公司	预先披露
上海太和水环境科技发展股份有限公司	2019-06-21	上交所	中原证券股份有限公司	预先披露
上海行动教育科技股份有限公司	2019-06-21	上交所	安信证券股份有限公司	预先披露
中饮巴比食品股份有限公司	2019-06-21	上交所	国元证券股份有限公司	预先披露
山西华翔集团股份有限公司	2019-06-21	上交所	国泰君安证券股份有限公司	预先披露
杭州市园林绿化股份有限公司	2019-06-21	上交所	浙商证券股份有限公司	预先披露
河南润弘制药股份有限公司	2019-06-21	上交所	中信证券股份有限公司	预先披露
浙江一鸣食品股份有限公司	2019-06-21	上交所	中信证券股份有限公司	预先披露
浙江华康药业股份有限公司	2019-06-21	上交所	瑞信方正证券有限责任公司	预先披露
浙江帅丰电器股份有限公司	2019-06-21	上交所	国信证券股份有限公司	预先披露
浙江李子园食品股份有限公司	2019-06-21	上交所	财通证券股份有限公司	预先披露
浙江迎丰科技股份有限公司	2019-06-21	上交所	国元证券股份有限公司	预先披露
王力安防科技股份有限公司	2019-06-21	上交所	海通证券股份有限公司	预先披露
苍穹数码技术股份有限公司	2019-06-21	上交所	东兴证券股份有限公司	预先披露
衢州五洲特种纸业股份有限公司	2019-06-21	上交所	华创证券有限责任公司	预先披露
重庆四方新材股份有限公司	2019-06-21	上交所	中原证券股份有限公司	预先披露
长春英利汽车工业股份有限公司	2019-06-21	上交所	中信证券股份有限公司	预先披露
陕西北元化工集团股份有限公司	2019-06-21	上交所	华泰联合证券有限责任公司	预先披露
宁波市天普橡胶科技股份有限公司	2019-06-14	上交所	财通证券股份有限公司	预先披露
江苏嵘泰工业股份有限公司	2019-06-14	上交所	广发证券股份有限公司	预先披露
江苏昆山农村商业银行股份有限公司	2019-06-14	上交所	中信建投证券股份有限公司	预先披露更新
浙江东亚药业股份有限公司	2019-06-14	上交所	东兴证券股份有限公司	预先披露
烟台北方安德利果汁股份有限公司	2019-06-14	上交所	华英证券有限责任公司	预先披露更新
众望布艺股份有限公司	2019-06-06	上交所	国信证券股份有限公司	预先披露
伟时电子股份有限公司	2019-06-06	上交所	民生证券股份有限公司	预先披露
北京万泰生物药业股份有限公司	2019-06-06	上交所	国金证券股份有限公司	预先披露更新
无锡派克新材料科技股份有限公司	2019-06-06	上交所	东兴证券股份有限公司	预先披露
杭州华旺新材料科技股份有限公司	2019-06-06	上交所	中信建投证券股份有限公司	预先披露
森林包装集团股份有限公司	2019-06-06	上交所	光大证券股份有限公司	预先披露
江西晨光新材料股份有限公司	2019-06-06	上交所	国元证券股份有限公司	预先披露
浙江拱东医疗器械股份有限公司	2019-06-06	上交所	中泰证券股份有限公司	预先披露
海南葫芦娃药业集团股份有限公司	2019-06-06	上交所	中信建投证券股份有限公司	预先披露
舒华体育股份有限公司	2019-06-06	上交所	中信证券股份有限公司	预先披露
齐鲁银行股份有限公司	2019-06-06	上交所	中信建投证券股份有限公司	预先披露
中银国际证券股份有限公司	2019-06-05	上交所	国泰君安证券股份有限公司	预先披露更新
山东兆物网络技术股份有限公司	2019-06-05	上交所	东吴证券股份有限公司	预先披露更新
杭州立昂微电子股份有限公司	2019-06-05	上交所	东方花旗证券有限公司	预先披露更新
上海新炬网络信息技术股份有限公司	2019-05-31	上交所	中国国际金融股份有限公司	预先披露
奥锐特药业股份有限公司	2019-05-31	上交所	安信证券股份有限公司	预先披露
新疆洪通燃气股份有限公司	2019-05-31	上交所	西部证券股份有限公司	预先披露
杭州豪悦护理用品股份有限公司	2019-05-31	上交所	平安证券股份有限公司	预先披露
法狮龙家居建材股份有限公司	2019-05-31	上交所	中德证券有限责任公司	预先披露
浙江华达新型材料股份有限公司	2019-05-31	上交所	海通证券股份有限公司	预先披露
上海罗曼照明科技股份有限公司	2019-05-28	上交所	海通证券股份有限公司	预先披露更新
上海起帆电缆股份有限公司	2019-05-24	上交所	海通证券股份有限公司	预先披露
厦门建霖健康家居股份有限公司	2019-05-24	上交所	长江证券承销保荐有限公司	预先披露
扬州日兴生物科技股份有限公司	2019-05-24	上交所	国金证券股份有限公司	预先披露
浙江华生科技股份有限公司	2019-05-24	上交所	广发证券股份有限公司	预先披露
浙江天正电气股份有限公司	2019-05-24	上交所	国泰君安证券股份有限公司	预先披露
湖北均瑶大健康饮品股份有限公司	2019-05-24	上交所	国泰君安证券股份有限公司,爱建证券有限责任公司	预先披露
神通科技集团股份有限公司	2019-05-24	上交所	广发证券股份有限公司	预先披露
公牛集团股份有限公司	2019-05-23	上交所	国金证券股份有限公司	预先披露更新
厦门雅迅网络股份有限公司	2019-05-23	上交所	中信建投证券股份有限公司	预先披露更新
福州瑞芯微电子股份有限公司	2019-05-23	上交所	兴业证券股份有限公司	预先披露更新
神驰机电股份有限公司	2019-05-22	上交所	华西证券股份有限公司	预先披露更新
中科软科技股份有限公司	2019-05-21	上交所	中泰证券股份有限公司	预先披露更新
重庆银行股份有限公司	2019-05-21	上交所	招商证券股份有限公司	预先披露更新
中泰证券股份有限公司	2019-05-17	上交所	东吴证券股份有限公司	预先披露更新
上海丽人丽妆化妆品股份有限公司	2019-05-10	上交所	广发证券股份有限公司	预先披露
北京新时空科技股份有限公司	2019-05-10	上交所	中信建投证券股份有限公司	预先披露
厦门力鼎光电股份有限公司	2019-05-10	上交所	国金证券股份有限公司	预先披露
山东玻纤集团股份有限公司	2019-05-10	上交所	民生证券股份有限公司	预先披露
江苏共创人造草坪股份有限公司	2019-05-10	上交所	中信证券股份有限公司	预先披露
西上海汽车服务股份有限公司	2019-05-10	上交所	海通证券股份有限公司	预先披露
三人行传媒集团股份有限公司	2019-04-26	上交所	兴业证券股份有限公司	预先披露
上海百金化工集团股份有限公司	2019-04-26	上交所	海通证券股份有限公司	预先披露
杭州聚合顺新材料股份有限公司	2019-04-26	上交所	广发证券股份有限公司	预先披露
江苏长龄液压股份有限公司	2019-04-26	上交所	广发证券股份有限公司	预先披露
江西宏柏新材料股份有限公司	2019-04-26	上交所	中信证券股份有限公司	预先披露
福然德股份有限公司	2019-04-26	上交所	中信建投证券股份有限公司	预先披露
西藏运高新能源股份有限公司	2019-04-26	上交所	长江证券承销保荐有限公司	预先披露
新天绿色能源股份有限公司	2019-04-19	上交所	中德证券有限责任公司	预先披露更新
温州市冠盛汽车零部件集团股份有限公司	2019-04-19	上交所	国金证券股份有限公司	预先披露
雪龙集团股份有限公司	2019-04-19	上交所	广发证券股份有限公司	预先披露更新
北京维冠机电股份有限公司	2019-04-12	上交所	平安证券股份有限公司	预先披露
华丰动力股份有限公司	2019-04-12	上交所	国金证券股份有限公司	预先披露
江西国光商业连锁股份有限公司	2019-04-12	上交所	中信证券股份有限公司	预先披露
青岛威奥轨道股份有限公司	2019-04-12	上交所	中信建投证券股份有限公司	预先披露
科博达技术股份有限公司	2019-04-09	上交所	中国国际金融股份有限公司	预先披露更新
上海中谷物流股份有限公司	2019-04-04	上交所	中国国际金融股份有限公司	预先披露
宁波长鸿高分子科技股份有限公司	2019-04-04	上交所	华西证券股份有限公司	预先披露
浙江越剑智能装备股份有限公司	2019-04-04	上交所	浙商证券股份有限公司	预先披露
湖南宇新能源科技股份有限公司	2019-04-04	上交所	安信证券股份有限公司	预先披露
宁波金田铜业集团股份有限公司	2019-04-01	上交所	财通证券股份有限公司	预先披露更新
江苏海安农村商业银行股份有限公司	2019-04-01	上交所	国泰君安证券股份有限公司	预先披露更新
浙江杭可科技股份有限公司	2019-03-29	上交所	国信证券股份有限公司	预先披露更新
宁夏宝丰能源集团股份有限公司	2019-03-04	上交所	中信证券股份有限公司	预先披露更新
广州通达汽车电气股份有限公司	2019-01-28	上交所	中信证券股份有限公司	预先披露更新
麒盛科技股份有限公司	2019-01-28	上交所	招商证券股份有限公司	预先披露更新
南亚新材料科技股份有限公司	2019-01-25	上交所	光大证券股份有限公司	预先披露
河南蓝天燃气股份有限公司	2019-01-18	上交所	招商证券股份有限公司	预先披露更新
襄阳长源东谷实业股份有限公司	2019-01-18	上交所	第一创业证券承销保荐有限责任公司	预先披露更新
成都燃气集团股份有限公司	2019-01-11	上交所	中信建投证券股份有限公司	预先披露更新
良品铺子股份有限公司	2019-01-11	上交所	广发证券股份有限公司	预先披露更新
上海华峰铝业股份有限公司	2018-12-28	上交所	兴业证券股份有限公司	预先披露
上海锦和商业经营管理股份有限公司	2018-12-28	上交所	中信建投证券股份有限公司	预先披露
全美在线（北京）教育科技股份有限公司	2018-12-28	上交所	中信建投证券股份有限公司	预先披露
八方电气（苏州）股份有限公司	2018-12-28	上交所	申万宏源证券承销保荐有限责任公司	预先披露更新
南侨食品集团（上海）股份有限公司	2018-12-28	上交所	申万宏源证券承销保荐有限责任公司	预先披露更新
山东兆物网络技术股份有限公司	2018-12-28	上交所	东吴证券股份有限公司	预先披露
常州市凯迪电器股份有限公司	2018-12-28	上交所	中信建投证券股份有限公司	预先披露
昆山沪光汽车电器股份有限公司	2018-12-28	上交所	中信建投证券股份有限公司	预先披露
晶科电力科技股份有限公司	2018-12-28	上交所	中信建投证券股份有限公司	预先披露
湖北祥云（集团）化工股份有限公司	2018-12-28	上交所	长江证券承销保荐有限公司	预先披露
航天精工股份有限公司	2018-12-28	上交所	中信建投证券股份有限公司	预先披露
重庆三峰环境集团股份有限公司	2018-12-28	上交所	中信建投证券股份有限公司	预先披露
广东景兴健康护理实业股份有限公司	2018-12-26	上交所	广发证券股份有限公司	预先披露更新
华冠新型材料股份有限公司	2018-12-21	上交所	东方花旗证券有限公司	预先披露
张家港爱丽家居科技股份有限公司	2018-12-21	上交所	广发证券股份有限公司	预先披露
无锡新洁能股份有限公司	2018-12-21	上交所	广发证券股份有限公司	预先披露
杭州立昂微电子股份有限公司	2018-12-21	上交所	东方花旗证券有限公司	预先披露
江苏昆山农村商业银行股份有限公司	2018-12-21	上交所	中信建投证券股份有限公司	预先披露
烟台北方安德利果汁股份有限公司	2018-12-21	上交所	华英证券有限责任公司	预先披露
贵州三力制药股份有限公司	2018-12-21	上交所	申港证券股份有限公司	预先披露
浙江甬金金属科技股份有限公司	2018-12-20	上交所	华西证券股份有限公司	预先披露更新
上海罗曼照明科技股份有限公司	2018-12-14	上交所	海通证券股份有限公司	预先披露
中银国际证券股份有限公司	2018-12-14	上交所	国泰君安证券股份有限公司	预先披露
漱玉平民大药房连锁股份有限公司	2018-12-14	上交所	中泰证券股份有限公司	预先披露
山东元利科技股份有限公司	2018-12-07	上交所	中泰证券股份有限公司	预先披露更新
奥普家居股份有限公司	2018-12-05	上交所	招商证券股份有限公司	预先披露更新
苏州赛伍应用技术股份有限公司	2018-11-30	上交所	东吴证券股份有限公司	预先披露更新
青岛百洋医药股份有限公司	2018-11-30	上交所	广发证券股份有限公司	预先披露更新
安徽省交通建设股份有限公司	2018-11-26	上交所	国元证券股份有限公司	预先披露更新
宏和电子材料科技股份有限公司	2018-11-26	上交所	海通证券股份有限公司	预先披露更新
上海沿浦金属制品股份有限公司	2018-11-16	上交所	中银国际证券股份有限公司	预先披露
北京万泰生物药业股份有限公司	2018-11-16	上交所	国金证券股份有限公司	预先披露
熊猫乳品集团股份有限公司	2018-11-16	上交所	中信建投证券股份有限公司	预先披露
福州瑞芯微电子股份有限公司	2018-11-16	上交所	兴业证券股份有限公司	预先披露
江苏神马电力股份有限公司	2018-11-14	上交所	长江证券承销保荐有限公司	预先披露更新
浙江大胜达包装股份有限公司	2018-11-14	上交所	东兴证券股份有限公司	预先披露更新
南通超达装备股份有限公司	2018-11-02	上交所	中泰证券股份有限公司	预先披露更新
新天绿色能源股份有限公司	2018-11-02	上交所	中德证券有限责任公司	预先披露
珠海市杰理科技股份有限公司	2018-11-02	上交所	中信建投证券股份有限公司	预先披露
浙江新化化工股份有限公司	2018-10-30	上交所	光大证券股份有限公司	预先披露更新
浙江车头制药股份有限公司	2018-10-26	上交所	广发证券股份有限公司	预先披露更新
浙江建业化工股份有限公司	2018-10-19	上交所	浙商证券股份有限公司	预先披露
浙江三美化工股份有限公司	2018-10-18	上交所	长江证券承销保荐有限公司	预先披露更新
苏州富士莱医药股份有限公司	2018-10-18	上交所	华林证券股份有限公司	预先披露更新
厦门雅迅网络股份有限公司	2018-10-12	上交所	中信建投证券股份有限公司	预先披露
嘉兴斯达半导体股份有限公司	2018-10-12	上交所	中信证券股份有限公司	预先披露
四川天味食品集团股份有限公司	2018-10-12	上交所	东兴证券股份有限公司	预先披露更新
宁波柯力传感科技股份有限公司	2018-10-12	上交所	国信证券股份有限公司	预先披露更新
重庆农村商业银行股份有限公司	2018-10-12	上交所	中国国际金融股份有限公司	预先披露更新
亳州药都农村商业银行股份有限公司	2018-10-09	上交所	华泰联合证券有限责任公司	预先披露更新
厦门松霖科技股份有限公司	2018-10-09	上交所	广发证券股份有限公司	预先披露更新
厦门银行股份有限公司	2018-10-09	上交所	中信建投证券股份有限公司	预先披露更新
公牛集团股份有限公司	2018-09-28	上交所	国金证券股份有限公司	预先披露
江西九丰能源股份有限公司	2018-09-28	上交所	中国国际金融股份有限公司	预先披露
浙江才府玻璃股份有限公司	2018-09-28	上交所	国信证券股份有限公司	预先披露更新
雪龙集团股份有限公司	2018-09-28	上交所	广发证券股份有限公司	预先披露
宁波金田铜业集团股份有限公司	2018-09-21	上交所	财通证券股份有限公司	预先披露
南通海星电子股份有限公司	2018-08-29	上交所	安信证券股份有限公司	预先披露
四川福蓉科技股份公司	2018-08-29	上交所	光大证券股份有限公司	预先披露
苏州龙杰特种纤维股份有限公司	2018-08-29	上交所	国信证券股份有限公司	预先披露
浙江杭可科技股份有限公司	2018-08-24	上交所	国信证券股份有限公司	预先披露
中国卫通集团股份有限公司	2018-07-31	上交所	中信建投证券股份有限公司	预先披露更新
南京泉峰汽车精密技术股份有限公司	2018-07-31	上交所	中国国际金融股份有限公司	预先披露更新
广东松炀再生资源股份有限公司	2018-07-26	上交所	英大证券有限责任公司	预先披露更新
上海威派格智慧水务股份有限公司	2018-07-24	上交所	中信建投证券股份有限公司	预先披露更新
明阳智慧能源集团股份公司	2018-07-20	上交所	申万宏源证券承销保荐有限责任公司	预先披露更新
上海移远通信技术股份有限公司	2018-07-13	上交所	招商证券股份有限公司	预先披露更新
赫基（中国）集团股份有限公司	2018-07-13	上交所	华泰联合证券有限责任公司	预先披露更新
江苏荣成环保科技股份有限公司	2018-07-06	上交所	兴业证券股份有限公司	预先披露更新
麒盛科技股份有限公司	2018-07-06	上交所	招商证券股份有限公司	预先披露
八方电气（苏州）股份有限公司	2018-06-29	上交所	申万宏源证券承销保荐有限责任公司	预先披露
南侨食品集团（上海）股份有限公司	2018-06-29	上交所	申万宏源证券承销保荐有限责任公司	预先披露
厦门农村商业银行股份有限公司	2018-06-29	上交所	中信建投证券股份有限公司	预先披露更新
国金黄金股份有限公司	2018-06-29	上交所	安信证券股份有限公司	预先披露更新
广州通达汽车电气股份有限公司	2018-06-29	上交所	中信证券股份有限公司	预先披露
河南蓝天燃气股份有限公司	2018-06-29	上交所	招商证券股份有限公司	预先披露
浙商银行股份有限公司	2018-06-29	上交所	中信证券股份有限公司	预先披露更新
爱玛科技集团股份有限公司	2018-06-29	上交所	中信证券股份有限公司	预先披露
良品铺子股份有限公司	2018-06-29	上交所	广发证券股份有限公司	预先披露
襄阳长源东谷实业股份有限公司	2018-06-29	上交所	第一创业证券承销保荐有限责任公司	预先披露
中国稀有稀土股份有限公司	2018-06-22	上交所	中信证券股份有限公司	预先披露
广东景兴健康护理实业股份有限公司	2018-06-22	上交所	广发证券股份有限公司	预先披露
成都燃气集团股份有限公司	2018-06-22	上交所	中信建投证券股份有限公司	预先披露
浙江甬金金属科技股份有限公司	2018-06-15	上交所	华西证券股份有限公司	预先披露
重庆银行股份有限公司	2018-06-15	上交所	招商证券股份有限公司	预先披露
小米集团（存托凭证）	2018-06-14	上交所	中信证券股份有限公司	预先披露更新
上海华培动力科技股份有限公司	2018-06-12	上交所	国金证券股份有限公司	预先披露更新
小米集团（存托凭证）	2018-06-11	上交所	中信证券股份有限公司	预先披露
奥普家居股份有限公司	2018-06-08	上交所	招商证券股份有限公司	预先披露
安徽省交通建设股份有限公司	2018-06-08	上交所	国元证券股份有限公司	预先披露
江苏海安农村商业银行股份有限公司	2018-06-08	上交所	国泰君安证券股份有限公司	预先披露
上海之江生物科技股份有限公司	2018-06-05	上交所	东方花旗证券有限公司	预先披露更新
山东元利科技股份有限公司	2018-06-01	上交所	中泰证券股份有限公司	预先披露
浙江力邦合信智能制动系统股份有限公司	2018-05-28	上交所	中信证券股份有限公司	预先披露更新
四川天味食品集团股份有限公司	2018-05-25	上交所	东兴证券股份有限公司	预先披露
江苏德纳化学股份有限公司	2018-05-24	上交所	广发证券股份有限公司	预先披露更新
上海雅运纺织化工股份有限公司	2018-05-22	上交所	广发证券股份有限公司	预先披露更新
博通集成电路（上海）股份有限公司	2018-05-18	上交所	中信证券股份有限公司	预先披露更新
舒华体育股份有限公司	2018-05-18	上交所	中信证券股份有限公司	预先披露
国科恒泰（北京）医疗科技股份有限公司	2018-05-15	上交所	长城证券股份有限公司	预先披露更新
浙江车头制药股份有限公司	2018-05-04	上交所	广发证券股份有限公司	预先披露
上海晶丰明源半导体股份有限公司	2018-05-02	上交所	广发证券股份有限公司	预先披露更新
西安华通新能源股份有限公司	2018-05-02	上交所	海通证券股份有限公司	预先披露更新
陕西西凤酒股份有限公司	2018-05-02	上交所	中信证券股份有限公司	预先披露更新
南京威尔药业股份有限公司	2018-04-27	上交所	中信建投证券股份有限公司	预先披露更新
苏州瑞可达连接系统股份有限公司	2018-04-27	上交所	华福证券有限责任公司	预先披露更新
