城市定位,区县定位,街道定位,小区定位,热度,参考均价,建筑年代,建筑类型,物业费,物业,开发商,楼栋总数,房屋总数,经度,纬度,房龄
南京,秦淮 ,月牙湖  ,四方新村四村             ,99,27596,2000,塔板结合         ,0.3,南京振东物业管理有限公司              ,南京光华房地产开发公司                ,10,511,118.8458194,32.0226413,19.0
南京,江宁 ,东山镇  ,莱茵达路8号             ,0,,,板楼           ,0.5,街道办事处（委员会）代管物业            ,无开发商                       ,1,18,118.8605012,31.95144974,
南京,栖霞 ,尧化门  ,尧辰景园               ,5,,2013,塔板结合         ,0.5,南京栖霞建设集团物业有限公司            ,南京栖云置业顾问有限公司               ,13,2358,118.887834 ,32.136901,6.0
南京,雨花台,雨花新村 ,雨花新村五村             ,42,27334,1983,板楼/塔板结合      ,0.6,街道办事处（委员会）代管物业            ,南京市雨花台区房地产综合开发有限责任公司       ,15,618,118.77887  ,32.000575,36.0
南京,浦口 ,泰山街道 ,浦源小区               ,0,21071,2002,塔板结合         ,1.2,南京苏宁物业管理有限公司              ,南京苏宁房地产开发有限公司              ,2,48,118.72598  ,32.173414,17.0
南京,鼓楼 ,挹江门  ,圣淘沙花城              ,148,30569,2003,塔楼/板楼        ,,南京长发联合置业有限公司              ,南京长发房地产开发有限责任公司            ,6,1511,118.7599708,32.07955544,16.0
南京,江宁 ,江宁大学城,万裕龙庭水岸             ,659,25709,2003,板楼           ,,万裕（深圳）物业管理有限公司南京分公司       ,南京市万裕(南京)房地产开发有限公司         ,75,3061,118.9135197,31.91402036,16.0
南京,栖霞 ,马群   ,中垠紫金观邸             ,461,31251,2016,板楼           ,1.9,兖矿东华物业管理有限公司南京分公司         ,江苏中垠青旅投资发展有限公司             ,14,1638,118.90219  ,32.054992,3.0
南京,玄武 ,北京东路 ,九华山18号             ,4,,1995,塔板结合         ,,南京玄武物业管理有限公司              ,南京市玄武区城建发展有限责任公司           ,1,6,118.81242  ,32.065425,24.0
南京,秦淮 ,夫子庙  ,新姚家巷               ,19,35763,1986,板楼/塔板结合      ,,无物业管理服务                   ,南京白鹭湖房地产开发有限公司             ,23,504,118.798934 ,32.029202000000005,33.0
