iter	Passed	Remaining
403	14218	73765
404	14244	73683
405	14267	73586
406	14293	73504
407	14315	73400
408	14341	73319
409	14367	73240
410	14395	73166
411	14423	73096
412	14449	73014
413	14476	72940
414	14504	72871
415	14526	72772
416	14550	72685
417	14575	72600
418	14600	72515
419	14625	72428
420	14651	72353
421	14677	72273
422	14702	72193
423	14725	72099
424	14748	72008
425	14773	71924
426	14797	71836
427	14823	71762
428	14847	71678
429	14874	71603
430	14899	71524
431	14924	71442
432	14948	71358
433	14976	71293
434	15000	71208
435	15022	71114
436	15045	71026
437	15071	70954
438	15098	70883
439	15124	70810
440	15151	70742
441	15176	70662
442	15202	70589
443	15226	70509
444	15249	70421
445	15273	70339
446	15297	70258
447	15323	70187
448	15348	70111
449	15375	70044
450	15400	69966
451	15424	69886
452	15449	69813
453	15472	69727
454	15496	69648
455	15519	69565
456	15543	69485
457	15568	69413
458	15594	69342
459	15619	69271
460	15645	69201
461	15672	69135
462	15695	69053
463	15721	68984
464	15745	68909
465	15773	68850
466	15800	68784
467	15824	68709
468	15849	68634
469	15874	68566
470	15902	68505
471	15924	68423
472	15948	68345
473	15977	68290
474	16001	68215
475	16024	68138
476	16051	68076
477	16077	68011
478	16101	67935
479	16129	67878
480	16157	67819
481	16182	67750
482	16207	67680
483	16229	67598
484	16253	67528
485	16276	67451
486	16305	67396
487	16329	67327
488	16355	67260
489	16379	67188
490	16402	67114
491	16429	67055
492	16455	66990
493	16483	66934
494	16506	66861
495	16533	66801
496	16559	66738
497	16585	66675
498	16609	66602
499	16634	66538
500	16658	66466
501	16683	66402
502	16706	66327
503	16731	66260
504	16755	66191
505	16780	66125
506	16809	66075
507	16838	66029
508	16866	65973
509	16889	65902
510	16913	65834
511	16937	65764
512	16968	65725
513	16995	65665
514	17017	65592
515	17038	65513
516	17063	65447
517	17085	65374
518	17112	65317
519	17137	65253
520	17160	65183
521	17183	65113
522	17208	65050
523	17230	64977
524	17255	64912
525	17279	64845
526	17306	64790
527	17335	64745
528	17482	65137
529	17559	65268
530	17709	65667
531	18117	67020
532	18187	67119
533	18256	67213
534	18310	67252
535	18447	67594
536	18482	67563
537	18531	67582
538	18578	67592
539	18839	68378
540	19127	69261
541	19196	69347
542	19230	69308
543	19279	69321
544	19308	69262
545	19343	69224
546	19396	69254
547	19466	69340
548	19509	69329
549	19534	69259
550	19561	69192
551	19584	69114
552	19612	69053
553	19640	68991
554	19669	68932
555	19703	68890
556	19737	68850
557	19763	68783
558	19791	68722
559	19814	68642
560	19839	68570
561	19865	68505
562	19890	68432
563	19912	68353
564	19935	68275
565	19960	68204
566	19985	68133
567	20009	68061
568	20034	67988
569	20058	67918
570	20085	67855
571	20109	67781
572	20134	67711
573	20160	67647
574	20185	67579
575	20213	67517
576	20237	67447
577	20260	67371
578	20283	67295
579	20306	67223
580	20336	67169
