iter	Passed	Remaining
1665	63455	31765
1666	63482	31722
1667	63506	31677
1668	63532	31633
1669	63558	31589
1670	63585	31545
1671	63611	31501
1672	63635	31456
1673	63659	31411
1674	63681	31365
1675	63708	31321
1676	63734	31278
1677	63759	31233
1678	63784	31189
1679	63806	31143
1680	63832	31099
1681	63854	31054
1682	63880	31010
1683	63902	30964
1684	63926	30920
1685	63956	30877
1686	63981	30834
1687	64014	30793
1688	64040	30750
1689	64062	30704
1690	64087	30660
1691	64115	30617
1692	64142	30574
1693	64170	30531
1694	64198	30489
1695	64225	30446
1696	64251	30403
1697	64278	30359
1698	64305	30316
1699	64334	30274
1700	64361	30232
1701	64386	30188
1702	64412	30144
1703	64436	30100
1704	64461	30056
1705	64486	30013
1706	64512	29969
1707	64539	29926
1708	64563	29882
1709	64586	29838
1710	64611	29794
1711	64636	29750
1712	64661	29707
1713	64686	29663
1714	64711	29620
1715	64741	29578
1716	64767	29535
1717	64793	29492
1718	64819	29449
1719	64844	29406
1720	64871	29363
1721	64896	29320
1722	64938	29284
1723	64970	29244
1724	64996	29201
1725	65025	29159
1726	65048	29115
1727	65073	29072
1728	65100	29029
1729	65126	28986
1730	65152	28944
1731	65177	28900
1732	65201	28857
1733	65226	28814
1734	65252	28771
1735	65278	28728
1736	65310	28688
1737	65345	28649
1738	65383	28612
1739	65429	28578
1740	65455	28535
1741	65486	28495
1742	65513	28453
1743	65539	28410
1744	65564	28367
1745	65588	28324
1746	65612	28280
1747	65637	28237
1748	65662	28194
1749	65687	28151
1750	65711	28108
1751	65733	28064
1752	65760	28022
1753	65789	27981
1754	65812	27937
1755	65837	27894
1756	65862	27851
1757	65889	27810
1758	65915	27767
1759	65942	27725
1760	65966	27682
1761	65992	27640
1762	66015	27596
1763	66040	27554
1764	66065	27511
1765	66094	27470
1766	66123	27429
1767	66149	27387
1768	66175	27345
1769	66200	27302
1770	66222	27259
1771	66243	27215
1772	66267	27172
1773	66291	27129
1774	66316	27086
1775	66342	27044
1776	66365	27001
1777	66388	26958
1778	66413	26916
1779	66436	26873
1780	66460	26830
1781	66486	26788
1782	66509	26745
1783	66531	26702
1784	66556	26659
1785	66580	26617
1786	66605	26574
1787	66629	26532
1788	66659	26492
1789	66686	26451
1790	66714	26410
1791	66741	26368
1792	66770	26328
1793	66800	26288
1794	66824	26245
1795	66849	26203
1796	66873	26161
1797	66903	26121
1798	66930	26080
1799	66964	26041
1800	66990	26000
1801	67014	25958
1802	67039	25916
1803	67065	25874
1804	67092	25833
1805	67118	25791
1806	67144	25750
1807	67172	25709
1808	67200	25669
1809	67224	25626
1810	67252	25586
1811	67305	25555
1812	67358	25524
1813	67399	25488
1814	67442	25453
1815	67474	25414
1816	67502	25373
1817	67538	25336
1818	67575	25298
1819	67606	25259
1820	67630	25217
1821	67655	25175
1822	67682	25135
1823	67707	25093
1824	67734	25052
1825	67756	25009
1826	67781	24968
1827	67806	24926
1828	67831	24884
1829	67862	24845
1830	67888	24804
1831	67911	24762
1832	67933	24720
1833	67960	24679
1834	67989	24639
1835	68014	24597
1836	68039	24556
1837	68065	24515
1838	68091	24474
1839	68120	24434
1840	68144	24392
1841	68170	24351
1842	68196	24310
1843	68222	24270
1844	68248	24229
1845	68274	24188
1846	68300	24147
1847	68325	24106
1848	68372	24072
1849	68408	24035
1850	68437	23995
1851	68465	23955
1852	68490	23914
1853	68516	23873
1854	68544	23833
1855	68569	23792
1856	68596	23751
1857	68620	23710
1858	68644	23669
1859	68668	23627
1860	68693	23586
1861	68720	23546
1862	68746	23506
1863	68774	23465
1864	68802	23425
1865	68826	23384
1866	68851	23344
1867	68877	23303
1868	68902	23262
1869	68926	23221
1870	68951	23180
1871	68977	23139
1872	69001	23098
1873	69026	23057
1874	69054	23018
1875	69087	22979
1876	69119	22941
1877	69152	22903
1878	69188	22866
1879	69220	22828
1880	69251	22789
1881	69281	22750
1882	69307	22709
1883	69335	22670
1884	69362	22630
1885	69390	22590
1886	69421	22551
1887	69451	22512
1888	69480	22473
1889	69508	22433
1890	69530	22392
1891	69553	22351
1892	69584	22312
1893	69614	22273
1894	69646	22235
1895	69806	22237
1896	69850	22203
1897	69903	22171
1898	70392	22277
1899	70763	22346
1900	70897	22339
1901	71022	22330
1902	71084	22300
1903	71124	22263
1904	71235	22249
1905	71334	22231
1906	71373	22194
1907	71517	22189
1908	71606	22168
1909	71665	22137
1910	71727	22107
1911	71765	22070
1912	71820	22037
1913	71877	22006
1914	71938	21975
1915	71980	21939
1916	72008	21899
1917	72036	21858
1918	72062	21817
1919	72091	21777
1920	72125	21739
1921	72181	21706
1922	72219	21669
1923	72259	21632
1924	72346	21610
1925	72385	21572
1926	72416	21533
1927	72446	21493
1928	72470	21451
1929	72495	21410
1930	72520	21369
1931	72545	21328
1932	72573	21287
1933	72597	21246
1934	72628	21206
1935	72699	21179
1936	72734	21140
1937	72759	21099
1938	72784	21058
1939	72809	21017
1940	72831	20975
1941	72860	20935
1942	72885	20894
1943	72912	20853
1944	72944	20814
1945	72972	20774
1946	73009	20736
1947	73038	20696
1948	73063	20655
1949	73091	20615
1950	73117	20574
1951	73144	20534
1952	73173	20494
1953	73207	20456
1954	73236	20416
1955	73272	20378
1956	73302	20338
1957	73334	20299
1958	73362	20259
1959	73390	20219
1960	73423	20181
1961	73455	20142
1962	73481	20101
1963	73507	20061
1964	73532	20020
1965	73557	19979
1966	73584	19939
1967	73607	19897
1968	73633	19857
1969	73660	19817
1970	73686	19776
1971	73710	19735
1972	73735	19695
1973	73763	19655
1974	73795	19616
1975	73825	19577
1976	73853	19537
1977	73882	19497
1978	73908	19457
1979	73933	19416
1980	73960	19376
1981	73987	19336
1982	74012	19296
1983	74037	19255
1984	74066	19216
1985	74101	19178
1986	74134	19139
1987	74164	19100
1988	74192	19060
1989	74218	19020
1990	74246	18981
1991	74289	18945
1992	74365	18917
1993	74405	18881
1994	74437	18842
1995	74477	18805
1996	74509	18767
1997	74538	18727
1998	74565	18687
1999	74591	18647
2000	74615	18607
2001	74640	18567
2002	74665	18526
2003	74689	18486
2004	74714	18445
2005	74741	18405
2006	74770	18366
2007	74796	18326
2008	74823	18286
2009	74852	18247
2010	74878	18207
2011	74930	18173
2012	74960	18135
2013	74987	18095
2014	75012	18055
2015	75038	18015
2016	75063	17975
2017	75093	17936
2018	75120	17896
2019	75147	17856
2020	75174	17817
2021	75198	17776
2022	75223	17736
2023	75247	17696
2024	75274	17656
2025	75302	17617
2026	75329	17578
2027	75355	17538
2028	75380	17498
2029	75406	17458
2030	75432	17418
2031	75463	17380
2032	75491	17341
2033	75521	17302
2034	75546	17262
2035	75571	17222
2036	75600	17183
2037	75623	17143
2038	75646	17103
2039	75676	17064
2040	75702	17024
2041	75726	16984
2042	75749	16944
2043	75776	16905
2044	75802	16865
2045	75826	16825
2046	75851	16785
2047	75879	16746
2048	75927	16712
2049	75952	16672
2050	75975	16632
2051	75999	16592
2052	76024	16552
2053	76047	16512
2054	76073	16473
2055	76099	16433
2056	76124	16394
2057	76147	16354
2058	76169	16314
2059	76194	16274
2060	76217	16234
2061	76240	16194
2062	76266	16155
2063	76291	16115
2064	76317	16076
2065	76344	16037
2066	76370	15998
2067	76395	15958
2068	76420	15919
2069	76446	15880
2070	76470	15840
2071	76498	15801
2072	76525	15762
2073	76555	15724
2074	76581	15685
2075	76606	15646
2076	76629	15606
2077	76655	15567
2078	76681	15528
2079	76709	15489
2080	76735	15450
2081	76761	15411
2082	76789	15372
2083	76815	15333
2084	76841	15294
2085	76867	15255
2086	76889	15215
2087	76917	15177
2088	76942	15137
2089	76964	15098
2090	76987	15058
2091	77013	15019
2092	77038	14980
2093	77064	14941
2094	77091	14903
2095	77121	14864
2096	77150	14826
2097	77178	14788
2098	77204	14749
2099	77229	14710
2100	77254	14671
2101	77280	14632
2102	77306	14593
2103	77335	14555
2104	77360	14516
2105	77387	14478
2106	77412	14439
2107	77440	14400
2108	77466	14361
2109	77492	14323
2110	77519	14284
2111	77546	14246
2112	77571	14207
2113	77598	14168
2114	77623	14129
2115	77647	14091
2116	77672	14052
2117	77695	14013
2118	77720	13974
2119	77884	13960
2120	77975	13933
2121	78055	13904
2122	79432	14105
2123	80149	14188
2124	80239	14159
2125	80608	14180
2126	80737	14158
2127	80960	14152
2128	81081	14129
2129	81232	14110
2130	81488	14110
2131	81550	14076
2132	81607	14041
2133	81682	14009
2134	81721	13971
2135	81758	13932
2136	81798	13894
2137	81828	13855
2138	81868	13816
2139	81919	13780
2140	81974	13745
2141	82038	13711
2142	82075	13672
2143	82126	13636
2144	82169	13599
2145	82209	13561
2146	82265	13525
2147	82295	13485
2148	82367	13453
2149	82468	13425
2150	82682	13415
2151	82874	13401
2152	83028	13381
2153	83554	13421
2154	84127	13468
2155	84222	13438
2156	84272	13400
2157	84479	13388
2158	84534	13351
2159	84617	13319
2160	84680	13283
2161	84745	13248
2162	84830	13216
2163	84875	13178
2164	84916	13139
2165	84953	13099
2166	84988	13060
2167	85021	13019
2168	85054	12979
2169	85087	12939
2170	85118	12899
2171	85151	12858
2172	85183	12818
2173	85212	12778
2174	85238	12736
2175	85271	12696
2176	85305	12656
2177	85334	12616
2178	85366	12575
2179	85397	12535
2180	85421	12494
2181	85447	12452
2182	85473	12411
2183	85496	12370
2184	85520	12329
2185	85548	12288
2186	85572	12246
2187	85594	12205
2188	85615	12163
2189	85639	12122
2190	85666	12081
2191	85692	12040
2192	85714	11999
2193	85738	11958
2194	85762	11916
2195	85789	11876
2196	85814	11835
2197	85842	11794
2198	85867	11753
2199	85893	11712
2200	85919	11671
2201	85944	11631
2202	85970	11590
2203	85997	11549
2204	86024	11508
2205	86050	11468
2206	86079	11427
2207	86105	11387
2208	86131	11346
2209	86154	11305
2210	86177	11264
2211	86204	11223
2212	86229	11182
2213	86252	11141
2214	86280	11101
2215	86306	11060
2216	86338	11021
2217	86366	10980
2218	86391	10940
2219	86419	10899
2220	86443	10858
2221	86468	10818
2222	86495	10777
2223	86516	10736
2224	86540	10696
2225	86567	10655
2226	86590	10614
2227	86615	10574
2228	86640	10533
2229	86667	10493
2230	86690	10452
2231	86716	10412
2232	86738	10371
2233	86762	10330
2234	86785	10290
2235	86807	10249
2236	86831	10208
2237	86855	10168
2238	86880	10127
2239	86908	10087
2240	86931	10046
2241	86956	10006
2242	86983	9966
2243	87010	9926
2244	87041	9886
2245	87070	9846
2246	87099	9806
2247	87132	9767
2248	87161	9727
2249	87191	9687
2250	87219	9648
2251	87247	9608
2252	87275	9568
2253	87307	9528
2254	87335	9488
2255	87360	9448
2256	87384	9408
2257	87412	9368
2258	87437	9328
2259	87462	9288
2260	87485	9247
2261	87512	9207
2262	87540	9167
2263	87566	9127
2264	87592	9087
2265	87617	9047
2266	87641	9007
2267	87669	8967
2268	87692	8927
2269	87717	8887
2270	87742	8847
2271	87768	8807
2272	87792	8767
2273	87819	8727
2274	87842	8687
2275	87869	8647
2276	87893	8607
2277	87917	8567
2278	87940	8527
2279	87967	8488
2280	87994	8448
2281	88021	8408
2282	88046	8368
2283	88071	8329
2284	88098	8289
2285	88123	8249
2286	88149	8209
2287	88174	8170
2288	88200	8130
2289	88226	8090
2290	88250	8050
2291	88276	8011
2292	88301	7971
2293	88328	7931
2294	88353	7892
2295	88378	7852
2296	88402	7812
2297	88429	7773
2298	88457	7733
2299	88481	7694
2300	88506	7654
2301	88531	7614
2302	88558	7575
2303	88584	7535
2304	88614	7496
2305	88639	7457
2306	88664	7417
2307	88690	7378
2308	88714	7338
2309	88738	7298
2310	88762	7259
2311	88787	7219
2312	88810	7180
2313	88841	7141
2314	88870	7101
2315	88896	7062
2316	88928	7023
2317	88963	6985
2318	88997	6946
2319	89027	6907
2320	89059	6868
2321	89090	6829
2322	89125	6790
2323	89156	6751
2324	89187	6713
2325	89220	6674
2326	89252	6635
2327	89289	6596
2328	89318	6557
2329	89344	6518
2330	89367	6479
2331	89390	6439
2332	89414	6400
2333	89442	6361
2334	89466	6322
2335	89494	6283
2336	89521	6243
2337	89546	6204
2338	89575	6165
2339	89601	6126
2340	89629	6087
2341	89655	6048
2342	89682	6009
2343	89708	5970
2344	89733	5931
2345	89757	5891
2346	89781	5852
2347	89809	5813
2348	89836	5774
2349	89862	5735
2350	89888	5696
2351	89913	5657
2352	89937	5618
2353	89961	5579
2354	89986	5540
2355	90010	5501
2356	90033	5462
2357	90057	5423
2358	90079	5384
2359	90104	5345
2360	90131	5306
2361	90157	5267
2362	90182	5228
2363	90206	5189
2364	90230	5150
2365	90256	5111
2366	90280	5072
2367	90313	5034
2368	90349	4996
2369	90373	4957
2370	90398	4918
2371	90424	4879
2372	90448	4840
2373	90473	4801
2374	90495	4762
2375	90519	4724
2376	90543	4685
2377	90567	4646
2378	90594	4607
2379	90619	4569
2380	90643	4530
2381	90671	4491
2382	90699	4453
2383	90722	4414
2384	90745	4375
2385	90769	4336
2386	90797	4298
2387	90825	4259
2388	90857	4221
2389	90886	4183
2390	90917	4144
2391	90948	4106
2392	90973	4067
2393	91001	4029
2394	91025	3990
2395	91048	3952
2396	91072	3913
2397	91099	3874
2398	91123	3836
2399	91149	3797
2400	91173	3759
2401	91197	3720
2402	91223	3682
2403	91247	3643
2404	91272	3605
2405	91297	3566
2406	91324	3528
2407	91351	3490
2408	91376	3451
2409	91399	3413
2410	91423	3374
2411	91445	3336
2412	91471	3297
2413	91495	3259
2414	91519	3221
2415	91542	3182
2416	91569	3144
2417	91595	3106
2418	91619	3067
2419	91646	3029
2420	91674	2991
2421	91702	2953
2422	91731	2915
2423	91758	2876
2424	91781	2838
2425	91804	2800
2426	91829	2762
2427	91856	2723
2428	91878	2685
2429	91905	2647
2430	91927	2609
2431	91957	2571
2432	91985	2533
2433	92010	2494
2434	92036	2456
2435	92062	2418
2436	92091	2380
2437	92119	2342
2438	92143	2304
2439	92169	2266
2440	92195	2228
2441	92353	2193
2442	92472	2157
2443	92643	2122
2444	93175	2095
2445	93374	2061
2446	93573	2026
2447	93628	1988
2448	93699	1951
2449	93758	1913
2450	93936	1877
2451	94072	1841
2452	94147	1803
2453	94185	1765
2454	94224	1727
2455	94269	1688
2456	94327	1650
2457	94366	1612
2458	94490	1575
2459	94531	1537
2460	94568	1498
2461	94600	1460
2462	94633	1421
2463	94662	1383
2464	94690	1344
2465	94715	1305
2466	94743	1267
2467	94768	1228
2468	94794	1190
2469	94818	1151
2470	94840	1113
2471	94866	1074
2472	94893	1036
2473	94923	997
2474	94950	959
2475	94973	920
2476	94998	882
2477	95025	843
2478	95052	805
2479	95076	766
2480	95110	728
2481	95139	689
2482	95173	651
2483	95198	613
2484	95228	574
2485	95259	536
2486	95293	498
2487	95319	459
2488	95352	421
2489	95379	383
2490	95410	344
2491	95442	306
2492	95479	268
2493	95530	229
2494	95558	191
2495	95584	153
2496	95606	114
2497	95633	76
2498	95658	38
2499	95683	0
