iter	Accuracy	MultiClass
239	0.8322	0.4358788086
240	0.8326	0.4353447591
241	0.8331333333	0.4344616211
242	0.8334	0.4339402669
243	0.8336	0.4334125977
244	0.8332666667	0.432922526
245	0.8336	0.4324125
246	0.8336666667	0.4318004557
247	0.8338	0.4313971354
248	0.8338666667	0.4307264648
249	0.8337333333	0.4301829427
250	0.8342	0.4294924479
251	0.8348666667	0.4288311198
252	0.8352	0.4281211914
253	0.8353333333	0.4274711263
254	0.8357333333	0.4270571289
255	0.836	0.4265656576
256	0.8364	0.4261648438
257	0.8364666667	0.4255498047
258	0.8367333333	0.4248213216
259	0.837	0.424288151
260	0.8376	0.4237192057
261	0.8382666667	0.422930599
262	0.8385333333	0.4221744466
263	0.8389333333	0.421734375
264	0.8392666667	0.4212760742
265	0.8395333333	0.4207563477
266	0.8394	0.4200888346
267	0.8400666667	0.4196000977
268	0.8399333333	0.4191272135
269	0.8404	0.418759375
270	0.8412666667	0.4182230143
271	0.8414666667	0.4177665365
272	0.8414666667	0.4172469401
273	0.842	0.4165419271
274	0.8420666667	0.4159973307
275	0.842	0.4154753906
276	0.8419333333	0.4149099935
277	0.8422	0.4143154622
278	0.8424666667	0.4137391602
279	0.8428666667	0.4131667643
280	0.8429333333	0.4128609049
281	0.843	0.4125252604
282	0.8433333333	0.4118149414
283	0.8436	0.4112188477
284	0.8438666667	0.4107079753
285	0.8439333333	0.410063151
286	0.8442	0.4097077799
287	0.8445333333	0.4092736654
288	0.8448	0.4087819661
289	0.8450666667	0.4081987305
290	0.8450666667	0.4078539388
291	0.8455333333	0.4074728841
292	0.8456666667	0.4070785156
293	0.8458	0.4065049154
294	0.8458666667	0.405860026
295	0.8463333333	0.4054826497
296	0.8468	0.4049601888
297	0.8468	0.4046873372
298	0.847	0.4043450195
299	0.8470666667	0.4039182617
300	0.8474666667	0.4033479818
301	0.8476	0.4026697591
302	0.8478666667	0.4023534505
303	0.8478	0.4019440104
304	0.8478666667	0.4016468099
305	0.8484666667	0.4009824544
306	0.8485333333	0.4005460612
307	0.8488	0.3999557292
308	0.8489333333	0.3994874674
309	0.8490666667	0.3990167643
310	0.8491333333	0.3986620117
311	0.8495333333	0.3981003906
312	0.8502666667	0.3975351237
313	0.8504666667	0.3971535807
314	0.8504666667	0.3968121745
315	0.8505333333	0.3963620117
316	0.8508666667	0.395938444
317	0.8507333333	0.3953476563
318	0.8508	0.3950898438
319	0.8508	0.3946176107
320	0.851	0.3943240885
321	0.8516666667	0.3935620768
322	0.8518666667	0.3929572266
323	0.8521333333	0.3926307292
324	0.8524	0.3919912435
325	0.8525333333	0.3914838542
326	0.8528	0.3911241211
327	0.8528	0.3903670898
328	0.8529333333	0.3901873698
329	0.8528	0.3897366862
330	0.8532666667	0.3892887695
331	0.8536666667	0.388912793
332	0.8539333333	0.3885571289
333	0.8546	0.3881881185
334	0.8545333333	0.3877775391
335	0.8546	0.3873945313
336	0.855	0.3867305013
337	0.8551333333	0.3863900065
338	0.8562	0.3857435547
339	0.8560666667	0.3852356771
340	0.8564	0.3848191732
341	0.8566	0.3843666341
342	0.8567333333	0.3840718099
343	0.8571333333	0.3835404297
344	0.8572	0.3829539714
345	0.8576666667	0.3823756836
346	0.8576666667	0.3819060547
347	0.8574	0.3814750977
348	0.8577333333	0.3810085612
349	0.8578666667	0.3803058268
350	0.8582666667	0.3799228516
351	0.8586666667	0.3795144531
352	0.8585333333	0.3791238607
353	0.8589333333	0.3785374349
354	0.8591333333	0.3781230469
355	0.8592	0.3777761393
356	0.8594	0.3774348958
357	0.8592666667	0.3769291341
358	0.8594666667	0.3766688477
359	0.8593333333	0.376411263
360	0.8600666667	0.3760402995
361	0.8602	0.3755193034
362	0.8606666667	0.3752604818
363	0.8607333333	0.3749189453
364	0.8608	0.3746434245
365	0.8613333333	0.3742183919
366	0.8616	0.3738014974
367	0.8619333333	0.3734611654
368	0.8622	0.3731781901
369	0.862	0.372749707
370	0.8621333333	0.3723980794
371	0.8624	0.3721735677
372	0.8629333333	0.3718867188
373	0.8632	0.3713610352
374	0.8634	0.3708996094
375	0.8637333333	0.3704679362
376	0.864	0.3701076172
377	0.8649333333	0.3698159831
378	0.8646666667	0.3694171549
379	0.8647333333	0.3689736003
380	0.865	0.3683562174
381	0.8651333333	0.3680722982
382	0.8652	0.3677767578
383	0.8654	0.3674145833
384	0.866	0.367153125
385	0.8660666667	0.3666803711
386	0.866	0.3663857422
387	0.8661333333	0.3660544596
388	0.8662666667	0.3656496419
389	0.8663333333	0.3654596029
390	0.8664666667	0.3651016276
391	0.8668666667	0.3647083333
392	0.8665333333	0.3644859049
393	0.867	0.3640356445
394	0.8674	0.3638013346
395	0.8676666667	0.3632633789
396	0.8678666667	0.3629750977
397	0.8679333333	0.3626103516
398	0.8682	0.3621513021
399	0.8684666667	0.3619029622
400	0.8682666667	0.3616313477
401	0.8683333333	0.3613242839
402	0.869	0.360895638
403	0.8688	0.3606099609
404	0.8690666667	0.3603571289
405	0.8692666667	0.3600531576
406	0.8694	0.3596863932
407	0.8694666667	0.3594303385
408	0.8697333333	0.359108431
409	0.8700666667	0.3588493164
410	0.8699333333	0.3584763021
411	0.8702666667	0.3580113607
412	0.8702	0.3576717773
413	0.8702666667	0.3573405924
414	0.8705333333	0.3569823242
415	0.871	0.3566672526
416	0.871	0.356307194
417	0.8711333333	0.3558877604
418	0.8717333333	0.3554079102
419	0.8716666667	0.3551903646
420	0.8720666667	0.354890918
421	0.8721333333	0.354502832
422	0.8719333333	0.354024349
423	0.8719333333	0.3537331706
424	0.8724666667	0.3533396484
425	0.8728	0.3530622721
426	0.873	0.352645931
427	0.8732666667	0.352309668
428	0.8735333333	0.3520033854
429	0.8740666667	0.351449349
430	0.8744666667	0.3510685547
431	0.8746666667	0.3508063802
432	0.8746666667	0.3505817383
433	0.8748	0.3500683919
434	0.8746666667	0.3497915365
435	0.8748666667	0.3495398112
436	0.8751333333	0.349138737
437	0.8753333333	0.3488502604
438	0.8756	0.3486131185
439	0.8762	0.3482852539
440	0.8764	0.3478625326
441	0.8766666667	0.3476550456
442	0.8766666667	0.3473422201
443	0.8767333333	0.3470361003
444	0.8768666667	0.3468553385
445	0.8770666667	0.3466098307
446	0.8775333333	0.3462649414
447	0.8777333333	0.3458576823
448	0.8779333333	0.3454574544
449	0.8782	0.3449189453
450	0.8782	0.3445908529
451	0.8782666667	0.3443556641
452	0.8784	0.3439215495
453	0.8786	0.3436647135
454	0.8792666667	0.3433387695
455	0.8793333333	0.3429860352
456	0.8798	0.342766276
457	0.8799333333	0.3423028646
458	0.88	0.3421075195
459	0.8804666667	0.3417715495
460	0.8808	0.3414892253
461	0.8806666667	0.3411180013
462	0.8808666667	0.3409351888
463	0.8810666667	0.3405055664
464	0.8811333333	0.3403131836
465	0.8808666667	0.3399815755
466	0.8816666667	0.3395807943
467	0.8816666667	0.3392580404
468	0.8818	0.3390862305
469	0.8820666667	0.3386365234
470	0.8817333333	0.3382818685
471	0.882	0.3379858724
472	0.8818666667	0.3376868164
473	0.8825333333	0.3372647135
474	0.8827333333	0.3369317057
475	0.8828666667	0.3366201497
476	0.8829333333	0.3362161784
477	0.883	0.3358864258
478	0.8830666667	0.3355844401
479	0.8833333333	0.3351443034
480	0.8837333333	0.3347813802
481	0.8838	0.3345125326
482	0.8837333333	0.3342219401
483	0.884	0.3338544271
484	0.8848	0.3334742839
485	0.8845333333	0.3332038411
486	0.8848	0.332954069
487	0.8846	0.3326266602
488	0.8844666667	0.3324551758
489	0.8849333333	0.332042806
490	0.8848666667	0.3318963867
491	0.8852666667	0.3314346029
492	0.8855333333	0.3310213216
493	0.8855333333	0.3306937174
494	0.8856	0.3303333333
495	0.8858666667	0.3300818685
496	0.8862666667	0.3296613607
497	0.8866	0.3294188802
498	0.8868666667	0.3291677734
499	0.8873333333	0.3288342448
500	0.8871333333	0.3285375651
501	0.8875333333	0.3280304036
502	0.8876666667	0.3278173177
503	0.8881333333	0.3275341471
504	0.8881333333	0.3273522461
505	0.8884666667	0.3271405273
506	0.8887333333	0.3268787109
507	0.8888	0.3265163737
508	0.8885333333	0.3260501302
509	0.8888	0.3258204753
510	0.8888	0.3255216797
511	0.889	0.3251810547
512	0.8891333333	0.3249529297
513	0.8890666667	0.324761849
514	0.8893333333	0.3243515625
515	0.8893333333	0.3241678385
516	0.8895333333	0.3239598307
517	0.8894	0.3237242839
518	0.8898666667	0.3234717122
519	0.8895333333	0.3232204427
520	0.8896	0.3229664388
521	0.8898	0.3227263672
522	0.89	0.3225915365
523	0.8900666667	0.3222495117
524	0.8904666667	0.3220185547
525	0.8904	0.3217200521
526	0.8905333333	0.3213638346
527	0.8907333333	0.3210916992
528	0.8908666667	0.3207228516
529	0.8914	0.3204062826
530	0.8912	0.3200994466
531	0.8913333333	0.3199430013
532	0.8916	0.3196908854
533	0.8920666667	0.3194229818
534	0.8917333333	0.3191910482
535	0.8917333333	0.319011556
536	0.892	0.31885625
537	0.892	0.318587793
538	0.8924666667	0.3182813477
539	0.8924666667	0.318112207
540	0.8923333333	0.3178620117
541	0.893	0.3175825195
542	0.8932666667	0.3174378255
543	0.8933333333	0.3172628255
544	0.8934	0.317018099
545	0.8937333333	0.3167402995
546	0.8937333333	0.3165247396
547	0.8940666667	0.3163180664
548	0.8940666667	0.3160043945
549	0.8941333333	0.315763151
550	0.8942666667	0.3156055339
551	0.8940666667	0.3153884115
552	0.8943333333	0.3151411458
553	0.8944	0.3147636068
554	0.8945333333	0.3145235026
555	0.8946666667	0.3143042969
556	0.8947333333	0.3141591146
557	0.8948	0.3137397786
558	0.8948	0.3135255534
559	0.8949333333	0.3133839844
560	0.8949333333	0.3131205729
561	0.8951333333	0.312936556
562	0.8954	0.3127146484
563	0.8951333333	0.3125235677
564	0.8955333333	0.3122234701
565	0.8954	0.312026888
566	0.8956666667	0.3118220703
567	0.8956666667	0.3116344076
568	0.8956666667	0.3113839518
569	0.8961333333	0.3110998372
570	0.8960666667	0.3108298177
571	0.8962	0.3105703125
572	0.8961333333	0.3103354167
573	0.8963333333	0.3101017904
574	0.8964666667	0.3099422526
575	0.8967333333	0.3096581706
576	0.8966666667	0.3093928385
577	0.897	0.3091505534
578	0.8972	0.309025651
579	0.8972	0.3088019206
580	0.8975333333	0.3084897135
581	0.8973333333	0.3082845378
582	0.8976	0.3079458333
583	0.8976666667	0.3077651693
584	0.8978	0.3075148437
585	0.8981333333	0.3073619466
586	0.8980666667	0.3071573568
587	0.8982	0.3067764648
588	0.8982	0.3066236328
589	0.8982	0.3064058594
590	0.8984666667	0.3061132161
591	0.8988666667	0.3058647135
592	0.8992666667	0.3056139974
593	0.8991333333	0.3053324219
594	0.8993333333	0.3050807292
595	0.8994	0.3048855469
596	0.8997333333	0.3045068685
597	0.8996666667	0.3041953451
598	0.9002666667	0.3038389974
599	0.9003333333	0.3036057943
600	0.9006	0.3033844727
601	0.9005333333	0.3032154622
602	0.9004666667	0.3029828451
603	0.9006	0.3025039388
604	0.9008666667	0.3022590495
605	0.9010666667	0.3020980794
606	0.9013333333	0.3018424154
607	0.9014	0.3016858073
608	0.9016	0.3013120768
609	0.9016	0.3010922852
610	0.9018	0.300879069
611	0.9015333333	0.3006657227
612	0.9017333333	0.3005104818
613	0.9020666667	0.3002806966
614	0.9021333333	0.3000180013
615	0.902	0.2997649089
616	0.9026666667	0.2994265951
617	0.9026	0.2993399089
618	0.903	0.2990579427
619	0.9029333333	0.2987330404
620	0.9032666667	0.2985998047
621	0.903	0.2984549154
622	0.9032666667	0.2982525716
623	0.9032	0.2981028971
624	0.9034	0.2978211263
625	0.9038666667	0.297463444
626	0.9035333333	0.2973208659
627	0.9035333333	0.2972058594
628	0.9041333333	0.2968516927
629	0.9046666667	0.2965799479
630	0.9048666667	0.2963677409
631	0.905	0.2961775065
632	0.9051333333	0.2958408203
633	0.9054	0.295650293
634	0.9055333333	0.2953074544
635	0.9055333333	0.295060026
636	0.9058666667	0.2948433919
637	0.9060666667	0.2947090169
638	0.9061333333	0.294375293
639	0.9064666667	0.2940095378
640	0.9062666667	0.2937167969
641	0.9063333333	0.2935315755
642	0.9066	0.2933051107
643	0.9068	0.2931750326
644	0.9069333333	0.2929964193
645	0.907	0.2927542318
646	0.9070666667	0.2926003906
647	0.9072666667	0.2924174154
648	0.9072666667	0.2922037109
649	0.9076	0.2918970378
650	0.9075333333	0.291660319
651	0.9074	0.291429362
652	0.9078666667	0.2912068359
653	0.9083333333	0.2909000651
654	0.9082666667	0.2905654622
655	0.9083333333	0.2902303711
656	0.9084666667	0.2900442057
657	0.9092	0.2897267253
658	0.9098	0.2893787435
659	0.9096	0.2891430339
660	0.9098666667	0.2890317383
661	0.9100666667	0.2888701172
662	0.91	0.2886394857
663	0.9101333333	0.2883438477
664	0.9102	0.2879816081
665	0.9104	0.2876623698
666	0.9106	0.2874588216
667	0.9105333333	0.2872878906
668	0.9108666667	0.2871059896
669	0.911	0.2868448568
670	0.9113333333	0.2866142904
671	0.9110666667	0.2864279297
672	0.9116	0.286106901
673	0.9116	0.2859409505
674	0.9116	0.2856513672
675	0.9118666667	0.2854640625
676	0.9116666667	0.2853102214
677	0.9119333333	0.2850969727
678	0.912	0.2847744792
679	0.9120666667	0.2846163737
680	0.9124666667	0.2843437174
681	0.9124666667	0.2841441732
682	0.9125333333	0.2840133789
683	0.9128666667	0.2838202799
684	0.9125333333	0.2835177409
685	0.9127333333	0.283371224
686	0.913	0.2831997396
687	0.9129333333	0.2828359375
688	0.9130666667	0.282690918
689	0.9131333333	0.2825612305
690	0.9134666667	0.2823197591
691	0.9136	0.2821572266
692	0.9135333333	0.2819833984
693	0.9135333333	0.2814220703
694	0.9136	0.2812069661
695	0.9135333333	0.2810327799
696	0.9136666667	0.2808317383
697	0.9138666667	0.280680013
698	0.9144	0.2804443685
699	0.9144666667	0.2801105469
700	0.9146	0.2798107747
701	0.9148	0.2796220703
702	0.9148666667	0.2793981445
703	0.9151333333	0.2790699544
704	0.9152	0.2788253255
705	0.9154	0.2785857422
706	0.9156666667	0.2783878906
707	0.9155333333	0.2781799479
708	0.9154	0.2779705078
709	0.9156666667	0.277810026
710	0.9160666667	0.2775521159
711	0.9158666667	0.2773154622
712	0.9162666667	0.2769327474
713	0.9164666667	0.2766879557
714	0.9166	0.2764453776
715	0.917	0.2762996094
716	0.9170666667	0.2760420247
717	0.9171333333	0.2758659505
718	0.9172666667	0.2755831706
719	0.9173333333	0.2754319987
720	0.9175333333	0.2752070638
721	0.9177333333	0.2749471029
722	0.918	0.2746129557
723	0.9176666667	0.2744392904
724	0.9178666667	0.2743428385
725	0.9178666667	0.2741918294
726	0.9178	0.2741060872
727	0.9178666667	0.2739391276
728	0.9182	0.2738116211
729	0.9185333333	0.2736366862
730	0.9184666667	0.2733006185
731	0.9186	0.2730665365
732	0.9188	0.2727960286
733	0.9188666667	0.2725359538
734	0.9187333333	0.2723490723
735	0.9188666667	0.2721758464
736	0.9189333333	0.2718186198
737	0.9188666667	0.27157111
738	0.9193333333	0.2713507813
739	0.9197333333	0.2711695801
740	0.9195333333	0.2709756022
741	0.9197333333	0.2707884277
742	0.9198666667	0.2705871257
743	0.9198666667	0.2703862305
744	0.9205333333	0.2700565918
745	0.9208	0.2698369141
746	0.9207333333	0.2697333984
747	0.9207333333	0.2694558757
748	0.921	0.2692105469
749	0.9212666667	0.2689144043
750	0.9217333333	0.2686301432
751	0.9219333333	0.2683446452
752	0.9219333333	0.2681492187
753	0.9222	0.2678454102
754	0.9224666667	0.267571582
755	0.9222	0.2673808919
756	0.9223333333	0.2671892578
757	0.9225333333	0.2670365397
758	0.9225333333	0.2669354492
759	0.9224	0.266723877
760	0.9226	0.2665067546
761	0.9228	0.2661878743
762	0.9230666667	0.2659947266
763	0.9232666667	0.265834082
764	0.9232666667	0.2656939128
765	0.9233333333	0.2655409505
766	0.9230666667	0.2654112467
767	0.9232666667	0.2651955566
768	0.9231333333	0.2649915039
769	0.9230666667	0.2648184408
770	0.9233333333	0.2646316895
771	0.9235333333	0.2642468262
772	0.9234666667	0.2640336751
773	0.9236	0.263927181
774	0.9237333333	0.2635929036
775	0.9239333333	0.2634807617
776	0.9242	0.2632092611
777	0.9241333333	0.2630811035
778	0.9242	0.2628477865
779	0.9243333333	0.262682666
780	0.9244	0.262479069
781	0.9244666667	0.2622436198
782	0.9248	0.2620191081
783	0.9247333333	0.2618940918
784	0.9248666667	0.2616367839
785	0.9248	0.2614624023
786	0.9248666667	0.2612427572
787	0.925	0.2610862956
788	0.9252	0.2608615723
789	0.9253333333	0.2606000488
790	0.9255333333	0.2604366536
791	0.9254666667	0.2601922689
792	0.9254	0.2600619792
793	0.9256	0.2598637044
794	0.9257333333	0.2596423665
795	0.9259333333	0.2594718424
796	0.9258666667	0.2592868652
797	0.9259333333	0.2591790365
798	0.9258666667	0.2590245117
799	0.926	0.2589126139
800	0.926	0.25875861
801	0.9263333333	0.2584741048
802	0.9263333333	0.2583311849
803	0.9266666667	0.2581377767
804	0.9266666667	0.2580013346
805	0.9269333333	0.257742806
806	0.927	0.2574914225
807	0.9269333333	0.257331722
808	0.9269333333	0.2571005859
809	0.9268	0.2568996419
810	0.9268666667	0.2567711426
811	0.9269333333	0.2566604818
812	0.9272	0.2564430339
813	0.9274	0.2561788411
814	0.9274666667	0.2559293457
815	0.9272666667	0.2557180176
816	0.9276	0.2556061686
817	0.9276	0.2554507161
818	0.9279333333	0.2551842448
819	0.9280666667	0.2550205241
820	0.9282	0.2547275065
821	0.9282	0.2546041504
822	0.9286666667	0.2543602865
823	0.929	0.2542351074
824	0.9288666667	0.2539994629
825	0.9288666667	0.2537069824
826	0.929	0.2535380697
827	0.9293333333	0.2533361491
828	0.9292666667	0.253176709
829	0.9296666667	0.2529794434
830	0.9298	0.2528716309
831	0.9297333333	0.2526588216
832	0.9296666667	0.2525659993
833	0.9297333333	0.2523829915
834	0.9302666667	0.2521880371
835	0.9303333333	0.2519500488
836	0.9304	0.2517769206
837	0.9304	0.2516313965
838	0.9306	0.251491862
839	0.9309333333	0.2513252116
840	0.9308666667	0.2511569336
841	0.931	0.2509291178
842	0.9308666667	0.2506470052
843	0.9309333333	0.2503985677
844	0.931	0.2502472168
845	0.931	0.2500650879
846	0.9312666667	0.2498705566
847	0.9316666667	0.2496382487
848	0.9318666667	0.2494697591
849	0.9318	0.2493008464
850	0.9318666667	0.2491594076
851	0.932	0.2489117188
852	0.9318666667	0.2487347819
853	0.9318	0.2485365234
854	0.9319333333	0.2483471354
855	0.9318666667	0.2481876139
856	0.9320666667	0.2480629069
857	0.9322	0.2479808594
858	0.9323333333	0.2478708984
859	0.9322	0.2477484863
860	0.9324666667	0.2476345703
861	0.9325333333	0.2475034993
862	0.9324	0.2473427897
863	0.9324	0.2471460449
864	0.9328666667	0.2469130859
865	0.9329333333	0.2467301107
866	0.9333333333	0.2465812012
867	0.9333333333	0.2464444661
868	0.9334666667	0.2462903158
869	0.9336	0.2461299805
870	0.9338666667	0.2459795898
871	0.9339333333	0.2456893229
872	0.9338666667	0.2455777344
873	0.9340666667	0.2453820638
874	0.9344	0.2451457194
875	0.9346666667	0.2449947266
876	0.9348666667	0.2448418294
877	0.9346	0.2446296224
878	0.9346	0.2444712402
879	0.9348	0.2442357422
880	0.935	0.2440657878
881	0.9349333333	0.2439583984
882	0.9351333333	0.2438274577
883	0.9351333333	0.2436310872
884	0.9353333333	0.2435263346
885	0.9355333333	0.2433184896
886	0.9358	0.243149349
887	0.9362	0.2429842773
888	0.9362	0.2427006022
889	0.9362666667	0.2424991536
890	0.9362666667	0.2423093424
891	0.9366	0.2421317057
892	0.9362666667	0.2419666341
893	0.9362	0.2417071777
894	0.9363333333	0.2415429688
895	0.9365333333	0.241405599
896	0.9364666667	0.2411888184
897	0.9366	0.241009375
898	0.9366	0.2408936035
899	0.9369333333	0.2407226074
900	0.9374	0.2404855794
901	0.9376	0.2403574056
902	0.9376666667	0.2401855469
903	0.9377333333	0.2400629557
904	0.9378	0.2398584635
905	0.938	0.2396295898
906	0.9378666667	0.2394985026
907	0.9381333333	0.2393138672
908	0.9383333333	0.2391307454
909	0.9380666667	0.2388896159
910	0.9384666667	0.2385732259
911	0.9382666667	0.2384238118
912	0.9380666667	0.2382687988
913	0.9384	0.2381220052
914	0.9383333333	0.2380448079
915	0.9386	0.2378353353
916	0.9386666667	0.2377347493
917	0.9388666667	0.2375534993
918	0.9387333333	0.2374567057
919	0.9388	0.237321582
920	0.9390666667	0.237228418
921	0.9392	0.2371577637
922	0.9396	0.2370359212
923	0.9398	0.2368591309
